BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;580972693;580780039;1;1;0;0;0;;0;1;336;168;252;2;2;;;1566;640;;1;0;;2207;356;210;10;130;;1247;149;495;1195;52;80254;68610;65478;53028;38542;11784;168;;48;252;1;0;4;1390;0
SMURSAMU;2013;590000337;590781415;1;1;0;0;0;;0;0;52;38;38;;3;;;2854;152;;;;;3006;1172;241;30;191;710;1727;;;1601;126;;;;;;;;;;;;;;;
SMURSAMU;2013;590000428;590781605;1;1;0;0;0;590781605;0;0;168;168;168;;;;;1750;67;;;;;1817;1014;147;13;109;745;993;;;662;331;;;;;;;;;;;;;;;
SMURSAMU;2013;590000469;590781662;1;0;0;0;1;;0;0;168;168;168;0;1;0;0;640;15;14;;;;655;228;63;1;32;132;560;33;143;454;106;;;;;;;;;;;;;;;
SMURSAMU;2013;590000535;590781803;1;1;0;0;0;590781803;0;0;;;;1;2;;;2271;338;;;;;2609;581;141;308;20;112;1690;141;689;1366;324;;;;;;;;;;;;;;;
SMURSAMU;2013;590000618;590782215;1;1;0;0;0;;0;0;336;336;336;1;3;0;0;4488;834;;;;;5322;956;376;15;;;3616;;;2721;895;;;;;;;;;;;;;;;
SMURSAMU;2013;590000758;590782637;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;1696;54;0;0;0;0;1750;540;109;10;44;365;1168;;;550;618;;;;;;;;;;;;;;;
SMURSAMU;2013;590001004;590783239;1;1;0;0;0;;0;0;168;;;2;;;;2326;84;;;;;2410;;214;13;5;490;1572;;;1290;282;;;;;;;;;;;;;;;
SMURSAMU;2013;590796975;590780193;1;0;0;1;0;;0;1;837;804;;8;8;1;0;7247;4858;;75;479;;12659;3395;646;123;421;2205;;845;1487;;;981811;926593;;376375;;;;573;198;1116;1;1;;5529;0
SMURSAMU;2013;590801106;590782421;1;1;0;0;0;;0;0;168;52;0;;;;;2458;109;;;;;2567;852;151;11;164;380;1714;204;436;1218;496;;;;;;;;;;;;;;;
SMURSAMU;2013;590804696;590781902;1;1;0;0;0;590781902;0;0;168;168;168;;2;;;2158;49;;;;;2207;1013;127;21;132;1013;1145;60;271;569;576;;;;;;;;;;;;;;;
SMURSAMU;2013;600000053;600101984;1;1;0;0;0;600101984;0;0;168;168;168;1;1;0;0;1195;252;;4;1;;1452;485;113;17;69;286;950;;;362;588;;;;;;;;;;;;;;;
SMURSAMU;2013;600000186;600100648;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;957;133;0;3;1;0;1094;326;86;8;71;129;761;82;204;239;522;;;;;;;;;;;;;;;
SMURSAMU;2013;600000194;600100713;1;1;0;0;0;;0;1;602;432;420;4;2;0;0;2381;526;173;0;0;0;2907;562;234;24;85;219;2008;110;346;1615;393;377309;368559;357782;159654;135239;22100;416;336;80;672;1;0;14;12929;1
SMURSAMU;2013;600000285;600100721;1;1;0;0;0;;0;0;35;35;35;1;1;;;762;100;;;;;862;191;79;10;41;61;408;;;408;;;;;;;;;;;;;;;;
SMURSAMU;2013;600000467;600101984;1;1;0;0;0;600101984;0;0;168;175;168;2;1;0;0;1364;211;;;40;;1615;535;142;88;;305;1386;;;1217;169;;;;;;;;;;;;;;;
SMURSAMU;2013;600113476;600100721;1;1;0;0;0;600100721;0;0;353;315;0;3;2;;;1749;408;;;;;2157;796;102;8;123;563;861;;;775;86;;;;;;;;;;;;;;;
SMURSAMU;2013;610000044;610780074;1;1;0;0;0;;0;0;168;84;120;1;2;;;728;;;;;;728;328;77;4;53;183;397;19;112;344;53;;;;;;;;;;;;;;;
SMURSAMU;2013;610000051;610780082;1;1;0;0;0;610780082;0;1;336;168;336;2;3;1;0;1197;707;0;49;402;0;2355;307;128;7;92;112;952;86;250;853;99;305614;305614;;66589;66589;22371;275;168;107;468;1;0;13;1079;0
SMURSAMU;2013;610000069;610780090;1;1;0;0;0;610780090;0;0;168;168;168;3;2;;;713;135;;;11;;859;142;76;21;41;4;571;;;542;29;;;;;;;;;;;;;;;
SMURSAMU;2013;610000077;610780124;1;1;0;0;0;610000077;0;0;168;168;168;;1;;;451;1;;;;;452;166;26;5;10;125;260;14;73;223;37;;;;;;;;;;;;;;;
SMURSAMU;2013;610000119;610780165;1;1;0;0;1;610780165;0;0;168;168;168;1;0;;;684;;;;;;684;128;80;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;610780108;610790594;1;1;0;0;1;610790594;0;0;168;168;168;;2;;;302;6;0;3;1;0;312;127;30;0;11;86;264;24;91;31;233;;;;;;;;;;;;;;;
SMURSAMU;2013;610780116;610790594;1;1;0;0;0;;0;0;133;105;168;1;;;;378;24;0;3;6;0;411;104;49;0;11;44;321;15;90;202;119;;;;;;;;;;;;;;;
