BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;EFFPL_MED;pct80;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2013;940300031;940000706;USIC;8;2920;703;;;2475;;;4;;;4;;;6;6;;;4;;4;4;;2;;;
REA;2013;940300270;940000771;SURVADU;12;4380;722;;;5101;;;;;;;6;;;;;6;1;;1;;;;;;
REA;2013;940300494;940000896;SURVADU;4;1460;392;;;1380;;;1;;;1;;;4;4;;;1;;1;;;;;;
REA;2013;940300569;940000912;SURVADU;6;2190;232;;;1692;;;;;6;2;;1;4.8;;6;0.5;3;2;3.6;;;;;;
REA;2013;940813033;940001894;SURVADU;5;1825;49;;;238;;;;;;;;;5;5;;;;;;;;;;;
REA;2013;950000307;950110015;AUTSI;15;5475;495;;;5082;;;0;;3;0.9;0;0;9;9;0;0;6;0;6;0;0;0;0;0;0
REA;2013;950000307;950110015;REAADU;12;4380;583;601;60;3067;9;;7;19;0;6.27;2;0;25.61;22;3;1.4;18;2;19.53;0;0;0;0;5;4.96
REA;2013;950000307;950110015;SITOT;23;8395;1211;;;7485;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000307;950110015;SURVADU;5;1552;788;;;1034;;;0;;0;1.65;1;0;6.7;7;0;1.33;8;0;6.31;0;0;0;0;0;0
REA;2013;950000307;950110015;USIC;8;2920;716;;;2403;;;4;;0;2.1;1;1;14.3;14;0;1.1;7;0;6.94;0;0;0;0;4;4
REA;2013;950000315;950001370;REAADU;8;2920;317;319;20;2511;15;47;2;24;0;4.25;1;;16.28;25;1;0.7;12;;8.53;;;;;1;0.75
REA;2013;950000315;950001370;SURVADU;4;1204;149;;;544;;;2;;;1.75;1;;6.7;25;;0.3;12;;3.52;;;;;;
REA;2013;950000323;950013870;REAADU;10;3650;468;503;16;4220;5;34;6;26;2;6.66;2;;32.31;31;3;1.5;24;4;25.64;;;;;7;7
REA;2013;950000323;950013870;SITOT;8;2920;756;;;2379;;;;;;;;;;;;;;;;;;;;;
