BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2013;170020994;170780175;4;0;0;0;0;4
Q22;2013;170780043;750721334;1;;;;;1
Q22;2013;170782981;170023279;7;;;1;;8
Q22;2013;170783146;170780050;2;;;;;2
Q22;2013;170792220;170780175;1;0;0;1;0;2
Q22;2013;180000010;180000028;12;1;0;13;0;26
Q22;2013;180000176;180001158;;;;;3;3
Q22;2013;180000200;180000051;;1;;3;;4
Q22;2013;180000283;180000069;3;;;;;3
Q22;2013;180003345;180000051;;;;1;;1
Q22;2013;180008278;750047367;1;;;;;1
Q22;2013;190000018;190000042;21;2;;14;0;37
Q22;2013;190000026;190000059;10;;;12;1;23
Q22;2013;190000091;190000075;7;1;0;1;0;9
Q22;2013;190011601;190000042;2;;;;;2
Q22;2013;210780110;210000022;1;;;;;1
Q22;2013;210780136;210000030;1;;;;;1
Q22;2013;210780144;750721235;1;;;;;1
Q22;2013;210780979;210000295;2;;;;;2
Q22;2013;210781621;210780581;47;1;;10;;58
Q22;2013;210986089;210780581;3;;;9;;12
Q22;2013;210987046;210987038;;;;1;;1
Q22;2013;210987558;210780581;288;31;;84;4;407
Q22;2013;210987632;210780607;19;1;;4;;24
Q22;2013;210987657;210780714;19;;;;;19
Q22;2013;210987665;210010070;3;;;;;3
Q22;2013;210987673;210010070;3;;;;;3
Q22;2013;210987699;210780706;5;0;0;0;2;7
Q22;2013;210987731;210780417;22;2;;1;;25
Q22;2013;220000012;220000020;40;1;0;25;1;67
Q22;2013;220000095;220000046;;;;16;;16
Q22;2013;220000269;220000640;1;;;;;1
Q22;2013;220000285;220000673;1;;;;;1
Q22;2013;220000301;220000673;2;;;;;2
Q22;2013;220000343;220000079;1;;;9;;10
Q22;2013;220000368;220000103;5;1;;14;1;21
Q22;2013;220000483;560014748;;;;;1;1
Q22;2013;220000541;220000152;;;;4;;4
Q22;2013;220001259;220005045;;;;2;;2
Q22;2013;230000820;230780041;3;1;;15;2;21
Q22;2013;230000853;230780074;;;;2;;2
Q22;2013;230780082;750005068;2;;;;;2
Q22;2013;230782617;750000218;;;;1;;1
Q22;2013;240000372;240000059;;;;16;;16
Q22;2013;240000463;240000083;4;;;;;4
Q22;2013;240000489;240000117;26;;;35;2;63
Q22;2013;240000687;240000448;2;;;2;;4
Q22;2013;250000023;250000015;7;1;0;2;0;10
Q22;2013;250000114;900000365;15;2;;11;4;32
Q22;2013;250000544;250002284;;;;1;;1
Q22;2013;250000619;250000452;2;;;1;;3
Q22;2013;250000700;250000452;5;;;11;;16
Q22;2013;250000718;250000460;9;1;;2;;12
Q22;2013;250000759;250000569;;;;5;;5
Q22;2013;250006954;250000015;301;27;0;34;3;365
Q22;2013;250014008;700004096;3;;;;;3
Q22;2013;260000013;260000021;23;1;;46;1;71
Q22;2013;260000120;260016910;2;;;25;;27
Q22;2013;260000138;260000047;5;1;;18;1;25
Q22;2013;260000146;260000054;;;;;1;1
Q22;2013;260000229;260000070;;1;;8;;9
Q22;2013;260000823;260003264;1;;;;;1
Q22;2013;270000045;270000060;3;;;;;3
Q22;2013;270000359;270023724;28;;;19;9;56
Q22;2013;270000367;270000086;3;;;2;;5
Q22;2013;270000391;760024042;;;;5;;5
Q22;2013;270000425;270000102;1;;;1;;2
Q22;2013;270000458;270023724;4;;;6;2;12
Q22;2013;270000573;270000219;7;0;0;0;0;7
Q22;2013;270000912;750814030;2;;;;;2
Q22;2013;270003924;760024042;;;;;1;1
Q22;2013;280000050;280000142;8;;;;;8
Q22;2013;280000084;280000183;11;;;13;7;31
Q22;2013;280504267;280000134;17;1;;14;4;36
Q22;2013;290000025;290020700;43;1;;35;;79
Q22;2013;290000033;290021542;39;;;21;2;62
Q22;2013;290000058;290000017;83;4;5;14;;106
Q22;2013;290000066;290020700;0;0;0;1;0;1
Q22;2013;290000140;290000447;2;;;;;2
Q22;2013;290000173;290000041;2;;;11;;13
Q22;2013;290000181;290000074;1;;;12;;13
Q22;2013;290000256;290000017;4;;;;;4
Q22;2013;290000728;750821092;27;;;29;;56
Q22;2013;290000785;220020739;;;;6;;6
Q22;2013;290000793;930019484;1;;;;;1
Q22;2013;290000918;290000298;5;;;2;;7
Q22;2013;290000934;290000306;;;;10;;10
Q22;2013;290000975;290000546;1;;;;1;2
Q22;2013;290000983;290000546;1;;;;0;1
Q22;2013;290003995;290000306;;;;1;;1
Q22;2013;290004324;290000017;121;14;;33;1;169
Q22;2013;290004340;290000017;20;;;6;1;27
Q22;2013;290004365;290000017;1;;;;;1
Q22;2013;290019777;290022508;1;;;;;1
Q22;2013;2A0000022;2A0000014;;3;;18;;21
Q22;2013;2A0000030;2A0000048;;;;1;;1
Q22;2013;2A0000287;2A0000386;0;1;0;2;0;3
Q22;2013;2A0002051;2A0000303;;;;1;;1
Q22;2013;2B0000012;2B0000020;0;0;0;17;3;20
Q22;2013;300000023;300780046;21;4;0;4;1;30
Q22;2013;300000031;300780053;1;;;15;1;17
