BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;NB_CONS;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2013;010000495;010783009;GEN;;4;;;;352;;;25;;;100;10;;6015;127776;;;5477;;;;14731;86;;;18;14;77443;30928;6519;7052;4852;0;;12515;9559;2241;151;26;3;23.43;18;;13.66;0;0;236;80;288.92;214.4;24.57;26.24;11.99;4.38;5.33;17;;15;4;;3.4;261;77;313.03;236.28;66.93;3.61;6.21;;
PSY;2013;010000495;010783009;INF;;1;;;;19;;;;;;14;0;;448;4025;;;;;;;2759;;;1;11;6;28749;9237;39;257;403;77;;4125;3748;128;1;11;1;9.93;;;;0;0;50;62;82.79;38.76;5;14.52;2.01;14.95;7.55;3;;2.61;;;;19;9;21.12;14.12;4.8;1.3;0.5;0.4;
PSY;2013;010000495;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2422;;;;;419;405;;;;;;1;;1;;;2;3;4.41;2.8;0;1.61;;;;;;;;;;;;;;0;;;;
PSY;2013;010000495;010783009;TOT;1;;7;1;;371;;;25;;;114;10;;6463;131801;;;5477;;;;17490;86;;1;29;20;106192;40165;8980;7309;5255;77;;16817;13592;2353;152;37;4;33.36;19;;14.66;;;288;145;376.12;255.96;29.57;42.37;14;19.33;12.88;20;0;17.61;4;;3.4;280;86;334.15;250.4;71.73;4.91;6.71;0.4;
PSY;2013;020000386;020000600;GEN;;;;;;71;;;;;;10;;;;27291;;;;;;;1425;;;;;;;;;;;;;1087;;;;5;;5;;2;0.3;;;34;7;42.07;31.65;8.38;1.5;0.5;0.04;;5;;5;;3;0.3;29;5;37.77;27.85;8.38;1;0.5;0.04;
PSY;2013;020000386;020000600;TOT;0;;;0;;71;;;;;;10;;;;27291;;;;;;;1425;;;;;;;;;;;;;1087;;;;5;;5;;2;0.3;;;34;7;42.07;31.65;8.38;1.5;0.5;0.04;;5;;5;;3;0.3;29;5;37.77;27.85;8.38;1;0.5;0.04;
PSY;2013;020000543;020000295;GEN;;5;;;;387;87;;;;146;42;4;;2391;127019;30093;;;;46095;126;8080;96;;;7;2;57606;11346;10677;2748;2649;;;7730;5599;299;202;27;4;26.7;15;2;16;0;0;619;72;685.05;434.22;85.9;18.21;12.2;3.3;8.8;18;0;18;9;2;10;560;47;535.2;337.9;79.6;7;7.6;1.3;7
PSY;2013;020000543;020000295;INF;;3;;;;34;3;;;;;112;1;;118;4504;639;;;;;83;14118;0;;;9;;55460;;1578;30;33;317;;4351;4092;17;9;8;;8;2;;2;0;0;174;33;197.12;88.7;8;27;4;8.6;33.4;3;0;3;0;0;0;62;6;65.46;41.7;0;3;1;0;6
PSY;2013;020000543;020000295;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1007;;;;;18215;921;860;;;2;2;2.6;1;;1;;;8;6;11.6;7.4;0;3.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSY;2013;020000543;020000295;TOT;1;;6;1;;421;90;;;;146;154;5;;2509;131523;30732;;;;46095;209;22198;96;;;18;3;113066;12353;12255;2778;2682;317;18215;12803;10444;313;210;37;6;37.3;18;2;19;;;801;111;893.77;530.32;93.9;48.41;16.2;11.9;43.2;21;0;21;9;2;10;622;53;600.66;379.6;79.6;10;8.6;1.3;13
PSY;2013;020004156;590805065;GEN;;;;;;54;;;;;;12;;;566;15594;;;;;;;2725;;;;;;;;;;;;;388;;332;2;0;3;1.5;;1;0.2;;;28;5;;17.93;6.7;0.1;0;0;0;0;3;1.5;;1;0.2;26;5;;17.93;6.7;0.1;0;0;0
PSY;2013;020004156;590805065;TOT;0;;;0;;54;;;;;;12;;;566;15594;;;;;;;2725;;;;;;;;;;;;;388;;332;2;0;3;1.5;;1;0.2;;;28;5;;17.93;6.7;0.1;0;0;0;0;3;1.5;;1;0.2;26;5;;17.93;6.7;0.1;0;0;0
PSY;2013;020006664;020000063;GEN;;2;;;;71;2;0;0;0;0;36;4;0;1718;21300;614;0;0;0;0;0;13869;42;0;2;4;4;20747;3851;2515;117;3710;0;;3351;2095;817;7;8;2;9.4;0;2;1;0;1;113;16;121.48;101.08;0.92;4;0.1;0;0;;;;;;;;;;;;;;;
PSY;2013;020006664;020000063;TOT;1;;0;0;0;71;2;0;0;0;0;36;4;0;1718;21300;614;0;0;0;0;0;13869;42;0;2;4;4;20747;3851;2515;117;3710;0;0;3351;2095;817;7;8;2;9.4;0;2;1;;;113;16;121.48;101.08;0.92;4;0.1;0;0;;;;;;;;;;;;;;;
PSY;2013;030000061;030780092;GEN;;2;;;;165;23;8;16;;;38;1;4;1493;49669;5642;675;4211;;;108;7993;1133;2932;;4;1;22248;600;9296;3156;1637;0;;3443;2562;748;69;5;2;6.95;2;4;3.6;;;243;23;261.86;165.01;44.62;6.09;;;;4;1;4.14;2;1;2.37;;;;;;;;;
PSY;2013;030000061;030780092;INF;;1;;;;26;18;;;;;18;;1;589;4084;4776;;;;;61;3930;0;24;;3;2;14050;2892;217;374;1615;227;;1072;952;47;4;3;;2.78;2;1;2.44;;;78;8;84.12;45;7.83;4;;;;2;;0.3;2;1;2.22;;;;;;;;;
PSY;2013;030000061;030780092;PEN;;;;;;;;;;;;;;;0;;;;;;;;0;;0;;;;;0;0;;;;0;0;0;0;0;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;030000061;030780092;TOT;1;;1;0;;191;41;8;16;;;56;1;5;2082;53753;10418;675;4211;;;169;11923;1133;2956;;7;3;36298;3492;9513;3530;3252;227;0;4487;3497;792;73;9;2;10.73;4;5;6.04;;;320;31;345.98;210.01;52.45;10.09;;;;6;1;4.44;4;2;4.59;;;;;;;;;
PSY;2013;030000087;030780118;GEN;;2;;;;85;4;;25;;;35;;;961;25276;604;;8333;;;118;7610;323;;4;2;;19849;;6288;;232;;;3635;3232;960;53;8;3;10.4;1;;0.5;0;1;146;50;175.66;112.81;20.55;7.75;0;1;0;;;;;;;28;103;117.46;73.58;20.02;1.01;0;0;0
PSY;2013;030000087;030780118;INF;;1;;;;;4;;;;;10;;;15;;617;;;;;;4511;;;4;1;;8718;;38;;821;172;;1537;1168;68;2;2;2;3.6;;;;0;0;17;16;31.77;5.71;0;5.51;0;3.7;7.43;0;0;0;;;;0;0;0;0;0;0;0;0;0
PSY;2013;030000087;030780118;TOT;1;;1;0;;85;8;;25;;;45;;;976;25276;1221;;8333;;;118;12121;323;;8;3;;28567;;6326;;1053;172;;5172;;;;10;5;14;1;;0.5;;;163;66;207.43;118.52;20.55;13.26;0;4.7;7.43;;;0;;;;28;103;117.46;73.58;20.02;1.01;0;0;0
PSY;2013;030000160;030780282;GEN;;1;;;;60;376;;;;;;;;227;16053;113375;;;;;;;;;1;;;1497;;46;;;;;762;193;569;345;3;1;1.93;4;3;4.68;0;0;84;11;91.82;53.54;29.12;3.45;1.83;0.85;3.03;3;;1.53;4;3;4.18;64;10;64.84;31.74;29.12;1.8;1.33;0.85;0
PSY;2013;030000160;030780282;TOT;1;;;0;;60;376;;;;;;;;227;16053;113375;;;;;;;;;1;;;1497;;46;;;;;762;193;569;345;3;1;1.93;4;3;4.68;;;84;11;91.82;53.54;29.12;3.45;1.83;0.85;3.03;3;;1.53;4;3;4.18;64;10;64.84;31.74;29.12;1.8;1.33;0.85;0
PSY;2013;030781637;030780100;GEN;;2;;;;51;;6;;;;25;;;462;13120;;1319;;;;;6067;;;;;;11361;;5718;;;;;1033;672;308;5;5;;4.68;;;;0;1;109;12;110.18;67.87;10.18;3.17;2.22;0.45;0;5;;4.67;;;;79;9;80.38;46.91;10.18;1.12;1.72;0.45;0
PSY;2013;030781637;030780100;INF;;1;;;;;4;;;;;12;;;6;;1791;;;;;;3129;;;;;30;3903;131;;;;;;597;552;6;0;3;1;3.6;;;;0;1;25;3;27.32;7.7;0;5.26;2.5;4.05;3;;;;;;;;;;;;;;;
PSY;2013;030781637;030780100;TOT;1;;;1;;51;4;6;;;;37;;;468;13120;1791;1319;;;;;9196;;;;;30;15264;131;5718;;;;;1628;;;;8;1;8.28;;;;;;131;15;137.5;75.57;10.18;8.43;4.72;4.5;3;5;;4.67;;;;79;9;80.38;46.91;10.18;1.12;1.72;0.45;0
PSY;2013;040000911;040788879;GEN;;2;;;;146;16;;;;;64;1;;1918;43074;2654;;;;;;21738;3;;9;7;2;;0;;;;;;4992;3984;808;;8;4;10.95;1;3;2.08;1;0;252;30;272.79;154.96;61.44;7.35;;;16.56;8;4;10.95;1;3;2.08;160;15;170.15;98.3;61.44;3.5;;;5.6
PSY;2013;040000911;040788879;INF;;1;;;;;;;;;;34;;;;;;;;;;;6930;;;3;5;;;;;;;;;1832;1723;;;3;1;3.93;;1;0.6;0;0;66;13;74.8;26.34;;14.55;;11.33;14.25;;;;;;;;;;;;;;;
PSY;2013;040000911;040788879;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;040000911;040788879;TOT;1;;3;1;30;146;16;;;;;98;1;;1918;43074;2654;;;;;;28668;3;;12;12;2;;0;;;;;;6824;;;;11;5;14.88;1;4;2.68;;;318;43;347.59;181.3;61.44;21.9;;11.33;30.81;8;4;10.95;1;3;2.08;160;15;170.15;98.3;61.44;3.5;;;5.6
PSY;2013;050000132;050007145;GEN;;1;;;;108;12;14;14;;;18;1;7;1421;32316;1719;3921;2353;;;203;1301;296;2152;2;4;5;25091;10472;2143;38;1769;0;;2330;2131;666;;5;2;6.19;3;5;5.69;0;0;155;47;155.66;120.5;15.87;5.75;3.19;2.82;7.53;6;2;6.19;3;3;1.38;124;30;143.05;92.4;18.1;3.75;3.55;2.2;5.8
PSY;2013;050000132;050007145;INF;;1;;;;8;4;;;;;21;;;457;872;0;;;;;132;4435;;0;1;3;4;12224;2475;68;0;87;251;;1092;864;116;;4;;4;;1;0.2;;;38;23;49.19;29.82;2.8;5.58;1;5.44;4.55;4;;4;;;;31;16;46.1;25.4;2.8;3.5;1.75;3;3.85
PSY;2013;050000132;050007145;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;050000132;050007145;TOT;1;;0;1;0;116;16;14;14;;;39;1;7;1878;33188;1719;3921;2353;;;335;5736;296;2152;3;7;9;37315;12947;2398;38;1856;251;;3422;2995;782;;9;2;10.19;3;6;5.89;;;193;70;204.85;150.32;18.67;11.33;4.19;8.26;12.08;9;2;10.19;3;3;1.38;155;46;189.15;117.8;20.9;7.25;5.3;5.2;9.65
PSY;2013;050000231;050000116;GEN;;1;;;;23;;;;;;12;2;;425;7041;;;;;;;3240;334;;;1;1;4039;4053;3213;;667;;;700;469;199;6;2;1;2.3;1;;0.25;0;1;27;12;33.23;23.99;1.17;1;1;0.7;;;;;;;;11;11;19.97;14.73;;1;;;
PSY;2013;050000231;050000116;TOT;1;;0;0;0;23;;;;;;12;2;;425;7041;;;;;;;3240;334;;;1;1;4039;4053;3213;;667;;;700;469;199;6;2;1;2.3;1;;0.25;;;27;12;33.23;23.99;1.17;1;1;0.7;;;;;;;;11;11;19.97;14.73;;1;;;
PSY;2013;050000454;050000645;GEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;050000454;050000645;INF;;;;;;30;;;;;;;;;87;9675;;;;;;;;;;;;;;;;;;;;87;;;;;2;0.95;;1;0.4;;;15;10;21.23;7.25;1;1.26;;0.5;11.22;;2;0.95;;1;0.4;15;10;21.23;7.25;1;1.26;;0.5;11.22
PSY;2013;050000454;050000645;TOT;0;;;0;;30;;;;;;;;;87;9675;;;;;;;;;;;;;;;;;;;;87;;;;;2;0.95;;1;0.4;;;15;10;21.23;7.25;1;1.26;;0.5;11.22;;2;0.95;;1;0.4;15;10;21.23;7.25;1;1.26;;0.5;11.22
PSY;2013;050000991;050000546;GEN;;;;;;40;;;;;;;;;373;13591;;;;;;;;;;;;;;;;;;;;373;;373;0;;2;1.18;3;;0.88;0;0;19;36;17.17;11.08;1.75;1.07;0.35;2.17;1.25;;;;;;;;;;;;;;;
PSY;2013;050000991;050000546;TOT;0;;;0;;40;;;;;;;;;373;13591;;;;;;;;;;;;;;;;;;;;373;;373;0;;2;1.18;3;;0.88;;;19;36;17.17;11.08;1.75;1.07;0.35;2.17;1.25;;;;;;;;;;;;;;;
PSY;2013;060000478;060780897;GEN;;1;;;;31;;;;;;10;2;;373;11045;;;;;;;1769;134;;;;;;;;;;;;1761;1476;255;12;8;4;6.9;0;0;;0;1;54;12;60.57;41.5;6.73;4.47;2;3.04;0;8;4;6.9;0;0;;66;12;60.57;41.5;6.73;4.47;2;3.04;0
PSY;2013;060000478;060780897;TOT;1;;0;1;;31;;;;;;10;2;;373;11045;;;;;;;1769;134;;;;;;;;;;;;1761;1476;255;12;8;4;6.9;;;0;;;54;12;60.57;41.5;6.73;4.47;2;3.04;0;8;4;6.9;;;0;66;12;60.57;41.5;6.73;4.47;2;3.04;0
PSY;2013;060000510;060780954;GEN;;2;;;;80;0;0;0;0;0;25;2;0;670;28317;0;0;0;0;0;0;4973;43;0;3;1;0;18309;0;932;210;1146;0;;3525;3371;515;68;14;;14;;1;0.2;1;0;105;26;126.44;76.31;13.07;9.12;3.79;0;0;;;;;;;72;9;69.04;43.9;9.63;3.01;2.29;0;0
PSY;2013;060000510;060780954;INF;;1;;;;0;0;;;0;0;10;0;0;0;0;0;;;0;0;0;819;0;0;3;3;1;12678;1572;1;5;2;6;;1534;1529;0;0;4;1;4.6;;;;;;18;15;29;6.39;0.04;8.3;2;5.2;5.27;;;;;;;;;;;;;;;
PSY;2013;060000510;060780954;TOT;1;;2;0;0;80;0;0;0;0;0;35;2;0;670;28317;0;0;0;0;0;0;5792;43;0;6;4;1;30987;1572;933;215;1148;6;0;5032;4875;515;68;18;1;18.6;;1;0.2;;;123;41;155.44;82.7;13.11;17.42;5.79;5.2;5.27;;;;;;;72;9;69.04;43.9;9.63;3.01;2.29;0;0
PSY;2013;060000544;060780988;GEN;;2;;;;66;;;;;;25;;;1438;20333;;;;;;;5276;;;;2;2;14017;1679;912;12;1355;;;1772;1066;706;5;10;;9.3;1;;0.3;1;0;124;10;128.75;70.95;24;5;1.8;0.1;0;9;;8.3;;;;72;5;72.67;35.97;14;2;0.8;0.1;0
PSY;2013;060000544;060780988;INF;;1;;;;;;;;;;10;;;;;;;;;;;1211;;;;3;1;13099;2682;838;171;944;1563;;1949;1772;;;6;2;7;;;;0;0;37;11;43.24;9;2;7;4;8.59;7;;;;;;;;;;;;;;;
PSY;2013;060000544;060780988;TOT;1;;2;0;;66;;;;;;35;;;1438;20333;;;;;;;6487;;;;5;3;27116;4361;1750;183;2299;1563;;3721;;;;16;2;16.3;1;;0.3;;;161;21;171.99;79.95;26;12;5.8;8.69;7;9;;8.3;;;;72;5;72.67;35.97;14;2;0.8;0.1;0
PSY;2013;060019288;060017019;INF;;1;;;;0;;;;;;0;0;;201;1787;;;;;;;;;;;2;;1805;;1477;;590;;;586;507;79;;0;0;5.25;;;;;;0;0;14.53;8.15;3.34;1.29;;;1.75;0;0;2.22;;;;0;0;11.93;6.4;3.34;0.79;;;1.4
PSY;2013;060019288;060017019;TOT;1;;;0;;0;;;;;;0;0;;201;1787;;;;;;;;;;;2;;1805;;1477;;590;;;586;507;79;;;;5.25;;;;;;;;14.53;8.15;3.34;1.29;;;1.75;;;2.22;;;;;;11.93;6.4;3.34;0.79;;;1.4
PSY;2013;060780442;060000213;GEN;;;;;;50;;;;;;10;;;;17653;;;;;;;2193;;;;;;;;;;;;;483;;486;;2;;2;;;;;1;24;5;26.75;14.15;10;2;;;0.6;;;;;;;22;3;23.55;12.55;10;0.4;;;0.6
PSY;2013;060780442;060000213;TOT;0;;;0;;50;;;;;;10;;;;17653;;;;;;;2193;;;;;;;;;;;;;483;;;;2;;2;;;;;;24;5;26.75;14.15;10;2;;;0.6;;;;;;;22;3;23.55;12.55;10;0.4;;;0.6
PSY;2013;060780525;060000247;GEN;;;;;;64;;;;;;;;;770;22375;;;;;;;;;;;;;;;;;;;;770;;;;3;;3;1;;1;0;0;17;9;23.19;15.85;5;0.94;0.4;;1;3;;3;1;;1;17;9;23.19;15.85;5;0.94;0.4;;1
PSY;2013;060780525;060000247;TOT;0;;;0;;64;;;;;;;;;770;22375;;;;;;;;;;;;;;;;;;;;770;;;;3;;3;1;;1;;;17;9;23.19;15.85;5;0.94;0.4;;1;3;;3;1;;1;17;9;23.19;15.85;5;0.94;0.4;;1
PSY;2013;060780541;060000262;GEN;;;;;;60;;;;;;;;;;23437;;;;;;;;;;;;;;;;;;;;852;;852;;;4;2;2;1;2.5;1;1;22;11;25.55;13.42;9.73;0.84;1;;0.56;;4;;;;;;;;;;;;;
PSY;2013;060780541;060000262;TOT;0;;;0;;60;;;;;;;;;;23437;;;;;;;;;;;;;;;;;;;;852;;852;;;4;2;2;1;2.5;;;22;11;25.55;13.42;9.73;0.84;1;;0.56;;4;;;;;;;;;;;;;
PSY;2013;060780749;060000395;GEN;;;;;;36;;;;;;;;;385;13021;;;;;;;;;;;;;;;;;;;;334;;334;;;5;3;;1;0.25;0;1;8;9;12.21;9;2.64;0.2;0.17;0.2;;;5;3;;1;0.25;;;;;;;;;
PSY;2013;060780749;060000395;TOT;0;;;0;;36;;;;;;;;;385;13021;;;;;;;;;;;;;;;;;;;;334;;;;;5;3;;1;0.25;;;8;9;12.21;9;2.64;0.2;0.17;0.2;;;5;3;;1;0.25;;;;;;;;;
PSY;2013;060780947;060800174;INF;;3;;;;22;;;;;;;;;;3818;;;;;;;0;;;3;;;2873;;3047;;791;;;934;814;120;0;10;6;5.71;;;;;;50;26;29.08;13.77;4.41;1.92;1;0.63;1.84;10;4;4.59;;;;39;16;22.44;11.67;4.41;1.17;0.4;0;1.84
PSY;2013;060780947;060800174;TOT;1;;0;0;;22;;;;;;;;;;3818;;;;;;;0;;;3;;;2873;;3047;;791;;;934;;;;10;6;5.71;;;;;;50;26;29.08;13.77;4.41;1.92;1;0.63;1.84;10;4;4.59;;;;39;16;22.44;11.67;4.41;1.17;0.4;0;1.84
PSY;2013;060780996;630786754;GEN;;7;;;;404;28;32;;;20;166;13;;3177;134117;8341;9323;;;4414;;27999;4;;;8;5;88987;18993;11806;;;;;7599;;2156;43;27;25;38.59;5;10;10.15;;1;556;58;593.15;313.8;197.45;27.5;21;9.9;23.5;19;10;21.97;5;9;9.4;;;486.85;239.5;192.65;13.9;11.2;9.1;20.5
PSY;2013;060780996;630786754;INF;;0;;;;9;;;;;;;;;;2292;;;;;;;;;;;;;;;;;;;;84;;84;;1;;1;;;;;;17;1;17.8;7;7;0.8;;;3;1;;1;;;;17;1;17.8;7;7;0.8;;;3
PSY;2013;060780996;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;450;11264;;;;;1425;;;;3;;3;;;;;;18;1;18.5;13;;2;2;;1.5;;;;;;;;;;;;;;;
PSY;2013;060780996;630786754;TOT;1;;8;1;1;413;28;32;;;20;166;13;;3177;136409;8341;9323;;;4414;;27999;4;;;9;6;88987;19443;23070;;;;;9108;;;;30;25;42.59;5;10;10.15;;;591;60;629.45;333.8;204.45;30.3;23;9.9;28;20;10;22.97;5;9;9.4;17;1;504.65;246.5;199.65;14.7;11.2;9.1;23.5
PSY;2013;060781929;060000858;GEN;;;;;;75;;;;;;;;;778;26995;;;;;;;;;;;;;;;;;;;;614;;614;;;8;;;4;1.2;0;1;28;9;36.87;19.14;6.03;0.5;0.67;0.73;;;;;;;;;;;;;;;;
PSY;2013;060781929;060000858;TOT;0;;;0;;75;;;;;;;;;778;26995;;;;;;;;;;;;;;;;;;;;614;;614;;;8;;;4;1.2;;;28;9;36.87;19.14;6.03;0.5;0.67;0.73;;;;;;;;;;;;;;;;
PSY;2013;060785003;060785011;GEN;;1;;;;70;;;;;;25;;;641;20981;;;;;;;4099;;;;;;10935;;;258;4550;;;4655;4362;426;35;10;7;8.97;0;2;0.2;0;1;45;45;85.99;33.02;26.43;6.33;1.99;0;0;7;2;4.46;0;0;0;27;27;45.89;19.99;20.67;0;0.48;0;0
PSY;2013;060785003;060785011;TOT;1;;;0;;70;;;;;;25;;;641;20981;;;;;;;4099;;;;;;10935;;;258;4550;;;4655;;;;10;7;8.97;;2;0.2;;;45;45;85.99;33.02;26.43;6.33;1.99;0;0;7;2;4.46;;;0;27;27;45.89;19.99;20.67;0;0.48;0;0
PSY;2013;060800174;;INF;;3;;;;0;;;;;;82;;;;;;;;;;;10367;;;9;5;;42434;;;;;;;3540;3316;0;;6;5;5.26;;;;;;54;84;94.04;20.26;0.7;18.16;6.39;14.98;16.22;;;;;;;;;;;;;;;
PSY;2013;060800174;;TOT;1;;;0;;0;;;;;;82;;;;;;;;;;;10367;;;9;5;;42434;;;;;;;3316;;;;6;5;5.26;;;;;;54;84;94.04;20.26;0.7;18.16;6.39;14.98;16.22;;;;;;;;;;;;;;;
PSY;2013;070780317;630786754;GEN;;5;;;;235;;;;;;92;5;1;3811;77496;;;;;;;17359;0;1529;3;8;1;62712;7284;5292;3255;1778;;;9273;7418;1644;61;19;10;21.65;11;2;11.49;1;0;413;101;472.02;273.68;80.47;17.39;12.62;2;14.44;17;6;12.52;9;2;10.26;291;59;326.34;184.21;77.34;6.03;6.99;0.9;8.81
PSY;2013;070780317;630786754;INF;;2;;;;;;;;;;28;;;;;;;;;;;4004;0;;5;5;3;25869;7311;6;11;363;30;;3079;2995;;;4;5;6.91;;;;0;0;37;31;52.63;29.8;0.05;17.38;;4.86;3.54;;;;;;;;;;;;;;;
PSY;2013;070780317;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2064;;;;;185;112;;;;1;0.3;;;0.27;;;1;;2.35;1.85;;0.5;;;;;;;;;;;;;;;;;;
PSY;2013;070780317;630786754;TOT;1;;3;1;;235;;;;;;120;5;1;3811;77496;;;;;;;21363;0;1529;8;13;4;88581;14595;7362;3266;2141;30;;12436;9218;;;23;16;28.86;11;2;11.76;;;451;132;527;305.33;80.52;35.27;12.62;6.86;17.98;17;6;12.52;9;2;10.26;291;59;326.34;184.21;77.34;6.03;6.99;0.9;8.81
PSY;2013;080000318;080000086;GEN;;4;;;;241;4;18;0;0;0;67;6;2;84;68999;633;4577;;;;18;14585;1098;3126;;10;7;39158;9935;22754;4606;1393;22;;5963;4373;1590;89;15;1;13.63;2;9;5.24;0;1;388;42;411.15;246.13;86.59;14.3;4.23;1;1.56;11;;8.46;2;6;4.24;265;28;279.08;142.8;78.55;4.89;3.78;;
PSY;2013;080000318;080000086;INF;;1;;;;0;0;;;;0;45;0;0;;;;;;;;54;4977;;;6;;7;14255;8080;151;128;696;118;;1628;1566;;;1;1;1.42;1;1;1.3;0;1;80;14;90.47;50.53;0.09;10.71;0.52;1.1;17.64;;;;;;;15;1;16.27;11.31;0.09;0.6;;;1
PSY;2013;080000318;080000086;PEN;;;;;;0;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0.2;;;;;;;1;0.47;;;0.47;;;;;;;;;;;;;;;;;;
PSY;2013;080000318;080000086;TOT;1;;7;1;0;241;4;18;0;0;0;112;6;2;84;68999;633;4577;;;;72;19562;1098;3126;6;10;14;53413;18015;22905;4734;2089;140;;7555;5895;1660;89;16;3;15.25;3;10;6.54;;;468;57;502.09;296.66;86.68;25.48;4.75;2.1;19.2;11;;8.46;2;6;4.24;280;29;295.35;154.11;78.64;5.49;3.78;;1
PSY;2013;090000183;090781816;GEN;;2;;;;99;12;;;;;30;5;1;1037;34381;1907;;;;;253;2595;0;0;;4;2;32299;1548;1724;1059;4723;0;;4922;4262;587;10;7;6;9.02;1;2;3.12;;;185;23;195.26;114.62;36.57;10.38;;3.5;3.54;5;3;3.91;1;1;2.32;115;8;115.31;67.61;32.57;1.02;;1.38;
PSY;2013;090000183;090781816;INF;;1;;;;7;7;;;;;20;;;98;1963;1138;;;;;4;2667;;;;3;1;12871;88;587;23;1043;105;;1233;1151;60;0;3;1;2.96;;;0.36;;;42;14;51.53;26.73;2;5.89;;3.74;4.12;;1;0.88;;;;17;4;18.35;12.03;2;0.5;;0.1;1.72
PSY;2013;090000183;090781816;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1113;;;;;195;188;;;1;;;;;;;;3;1;1.25;1.1;;0.15;;;;;;;;;;;;;;;;;;
PSY;2013;090000183;090781816;TOT;1;;0;1;;106;19;;;;;50;5;1;1135;36344;3045;;;;;257;5262;0;0;;8;3;45170;1636;3424;1082;5766;105;;6222;5522;640;10;10;7;11.98;1;2;3.48;;;228;37;248.04;142.45;38.57;16.42;;7.24;7.66;5;4;4.79;1;1;2.32;132;12;133.66;79.64;34.57;1.52;;1.48;1.72
PSY;2013;100000108;100000033;GEN;;4;;;;201;9;;29;;5;86;;;1038;70036;2652;;8721;;1651;;18161;;;;9;6;34608;11424;6702;1118;104;;;4413;3522;751;129;12;6;14.46;4;1;4.2;1;1;326;21;337.7;200.4;115.8;12;2.8;2.8;3.9;10;2;6.35;4;1;3.9;226;16;236.6;120.9;110.3;2.4;0.5;1;1.5
PSY;2013;100000108;100000033;INF;;2;;;;;;;;;;36;;;;;;;;;;;7446;;;;5;5;17151;7895;293;30;198;19;;2649;2527;;;7;2;7.14;;;;0;0;58;13;68.2;34.2;1;15.8;0.8;6.8;9.6;;;;;;;;;;;;;;;
PSY;2013;100000108;100000033;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;698;698;;;;1;0.7;;;;;;8;0;8;2;;6;;;;;;;;;;;;;;;;;;
PSY;2013;100000108;100000033;TOT;1;;0;1;0;201;9;;29;;5;122;;;1038;70036;2652;;8721;;1651;;25607;;;3;14;11;51759;19319;6995;1148;302;19;;7016;6003;751;;19;9;22.3;4;1;4.2;;;392;34;413.9;236.6;116.8;33.8;3.6;9.6;13.5;10;2;6.35;4;1;3.9;226;16;236.6;120.9;110.3;2.4;0.5;1;1.5
PSY;2013;110002953;110780137;GEN;;1;;;;47;3;3;;;;20;2;0;516;13354;884;796;;;;;3377;65;;1;1;;16473;;182;143;1228;4;;2139;2056;349;46;4;;4;;;;0;1;62;14;72.6;42.6;5.6;3.3;1.8;5.5;1;;;;;;;;;;;;;;;
