BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;NB_CONS;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2013;330780289;330790809;TOT;0;;;0;;;;;;;;30;;;;;;;;;;;5463;;;;;;;;;;;;;33;;;;;1;0.5;;;;;;10;9;;1;;1.5;0.5;1.99;10.73;;;;;;;;;;;;;;;
PSY;2013;330780297;330000175;GEN;;;;;;34;;;;;;;;;899;12334;;;;;;;;;;;;;;;;;;;;339;;339;0;;2;1;;;;;;12;;18;8;4;0;0;0;0;;2;1;;;;;;;;;;;;
PSY;2013;330780297;330000175;TOT;0;;;0;;34;;;;;;;;;899;12334;;;;;;;;;;;;;;;;;;;;339;;339;;;2;1;;;;;;12;;18;8;4;0;0;0;0;;2;1;;;;;;;;;;;;
PSY;2013;330780313;330000191;GEN;;;;;;79;;;;;;;;;967;29113;;;;;;;;;;;;;;;;;;;;593;;593;1;;11;3.1;;12;3.44;0;0;24;3;26.03;20.03;5;;;1;;;;;;;;;;;;;;;;
PSY;2013;330780313;330000191;TOT;0;;;0;;79;;;;;;;;;967;29113;;;;;;;;;;;;;;;;;;;;593;;;;;11;3.1;;12;3.44;;;24;3;26.03;20.03;5;;;1;;;;;;;;;;;;;;;;
PSY;2013;330780321;330000209;GEN;;;;;;62;;;;;;;;;650;22209;;;;;;;;;;;;;;;;;;;;585;;585;2;;6;;;;;1;1;20;9;23.43;18.1;3.23;;;1.54;0.56;;;;;;;;;;;;;;;
PSY;2013;330780321;330000209;TOT;0;;;0;;62;;;;;;;;;650;22209;;;;;;;;;;;;;;;;;;;;585;;;;;6;;;;;;;20;9;23.43;18.1;3.23;;;1.54;0.56;;;;;;;;;;;;;;;
PSY;2013;330780636;330785072;GEN;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;330780636;330785072;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;6;3;1;24788;2024;;;;;;1865;1865;;;;6;3.75;;;;0;0;12;28;23.6;1;;6.8;4.5;10.8;0.5;;;;;;;;;;;;;;;
PSY;2013;330780636;330785072;TOT;1;;1;0;0;;;;;;;;;;;;;;;;;;;;;6;3;1;24788;2024;;;;;;;;;;;6;3.75;;;;;;12;28;23.6;1;;6.8;4.5;10.8;0.5;;;;;;;;;;;;;;;
