BOR;AN;FI;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;LIT_REA;EX_POST;LIT_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2013;660000084;660780180;1;23;1;8;1;4;0;;1;0;;0;;1;0;0;0;0;895;46;6399;13;0;69;103;537;70;297;0;0;0
NEUROCHIR;2013;670783273;670780055;1;62;0;;1;6;0;0;1;0;;0;;1;1;0;1;1;2199;159;17253;16;0;118;155;1577;27;902;169;10;1228
NEUROCHIR;2013;680000684;680000973;1;45;0;;0;;1;1;1;1;1000;1;;1;1;0;0;1;2221;28;14361;7;0;32;179;2483;0;0;116;0;1197
NEUROCHIR;2013;690780648;690036900;0;;0;;0;;0;;0;;;;;0;0;0;0;1;487;0;1439;0;0;0;0;0;2;4;0;0;0
NEUROCHIR;2013;690782834;690000724;0;;0;;0;;0;;0;0;;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2013;690784178;690781810;1;138;1;20;1;10;1;6;0;;;;;1;1;1;1;1;4896;537;33965;808;45;5089;427;3522;776;2096;391;19;2752
NEUROCHIR;2013;740000237;740781133;1;14;0;;0;;0;;1;1;238;0;;1;0;0;0;0;697;12;4774;10;1;44;80;306;107;481;0;0;0
NEUROCHIR;2013;750000499;750140014;1;41;1;5;1;4;1;;0;1;3627;0;;1;0;1;0;1;1599;25;11238;27;1;166;140;1962;381;1156;174;2;1325
NEUROCHIR;2013;750000549;750150229;1;40;0;;0;;1;12;1;1;648;0;;1;1;1;1;1;1744;0;7497;532;0;869;0;0;0;0;522;14;3851
NEUROCHIR;2013;750100042;750712184;1;38;1;;1;12;1;;1;1;510;0;;1;1;0;0;1;1711;94;9838;18;2;119;138;1608;666;3083;332;17;1704
NEUROCHIR;2013;750100125;750712184;1;84;1;18;1;7;1;;1;1;940;;;1;1;1;0;1;3680;87;26774;24;0;166;325;6495;1320;1491;248;11;2901
NEUROCHIR;2013;750100208;750712184;1;16;1;8;1;8;0;;0;1;1000;0;0;0;1;1;1;0;29;2;106;1337;64;4356;844;2791;864;2737;0;0;0
NEUROCHIR;2013;750120016;750821092;1;25;0;;0;;0;;0;0;;0;;1;;0;0;0;748;13;4714;0;0;0;0;0;0;0;2;0;4
NEUROCHIR;2013;760000158;760780239;1;60;1;8;1;4;1;0;1;1;;1;;1;1;1;1;1;2080;38;18081;15;1;102;253;2970;537;947;86;5;417
NEUROCHIR;2013;800000192;800000044;1;50;1;8;1;8;1;1;1;0;1354;0;;1;1;0;1;1;1788;45;12596;167;18;748;383;1813;70;285;91;3;441
NEUROCHIR;2013;830100574;750821092;1;20;0;0;0;0;1;2;1;0;;1;700;1;0;0;0;0;785;0;5978;0;0;0;0;0;0;0;109;26;452
NEUROCHIR;2013;860000223;860013077;1;33;1;19;0;;0;;1;;;;;;;;1;;2048;42;10355;27;1;126;451;3322;197;222;203;3;2045
NEUROCHIR;2013;870000064;870000015;1;46;0;0;1;8;1;4;1;1;;0;;1;1;1;1;1;2146;41;13673;9;1;62;82;792;26;167;205;3;1019
NEUROCHIR;2013;920000650;920150059;1;32;0;;0;2;1;;1;0;;0;;1;1;0;0;1;1093;4;8476;14;0;67;54;589;689;728;214;24;867
NEUROCHIR;2013;920100039;750712184;1;32;1;17;1;6;1;8;;1;;1;;1;1;1;0;1;1662;245;10569;33;3;310;185;3320;404;586;271;12;1356
NEUROCHIR;2013;930300025;930000393;1;20;0;0;1;7;0;;1;0;;0;;1;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2013;940100027;750712184;1;35;1;16;1;6;1;;1;1;;0;;1;1;0;0;1;2052;718;9011;13;3;46;203;982;308;1214;165;4;906
NEUROCHIR;2013;940100043;750712184;1;35;0;0;0;0;0;0;1;1;150;;;1;1;1;1;1;1266;52;9985;23;4;92;238;2372;332;739;237;15;1591
NEUROCHIR;2013;970100442;970100228;1;11;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;651;221;3342;4;0;18;63;666;31;124;0;0;0
NEUROCHIR;2013;970211215;970211207;1;13;0;0;1;6;0;2;1;0;;0;;1;0;0;1;0;431;26;3608;4;0;18;14;145;105;1197;5;0;52
NEUROCHIR;2013;970400057;970408589;1;18;1;12;;;1;1;1;1;92;1;70;1;1;0;1;1;826;29;5530;21;2;105;230;1616;0;0;90;2;637
