BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFSP;INFNS;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2013;050000223;050000108;9999;0.25;0;0.5;0;0.75;0;5;0;1.05;1.5;0;0;0;7.55;0;0;0;;1.4;9.7
Q24;2013;050000231;050000116;1000;3;0.5;71.96;;75.46;1.37;9.9;0.73;8.57;12.55;;;2.35;35.47;1.67;;1.67;37.05;62.87;212.52
Q24;2013;050000231;050000116;2000;;;;;;7.43;157.46;18.02;80.5;35.96;4;10.77;3.81;317.95;2.2;;2.2;;;320.15
Q24;2013;050000231;050000116;2100;;;;;;7.35;111.62;18.02;65.53;26.86;1.9;10.77;1.75;243.8;1.2;;1.2;;;245
Q24;2013;050000231;050000116;2200;;;;;;0.08;38.63;;1.17;4.02;2;;0.7;46.6;1;;1;;;47.6
Q24;2013;050000231;050000116;2500;;;;;;;7.21;;13.8;5.08;0.1;;1.36;27.55;;;;;;27.55
Q24;2013;050000231;050000116;9999;3;0.5;71.96;;75.46;8.8;167.36;18.75;89.07;48.51;4;10.77;6.16;353.42;3.87;;3.87;37.05;62.87;532.67
Q24;2013;050000256;050000124;1000;3;;30.14;;33.14;1.15;1.28;;1.51;2.52;0.08;0.01;0.94;7.49;;1.65;1.65;6.6;47.05;95.93
Q24;2013;050000256;050000124;2000;;;;;;2.81;39.17;;53.11;10.69;2.26;0.99;2.9;111.93;0.6;;0.6;;;112.53
Q24;2013;050000256;050000124;2100;;;;;;2.01;24.03;;23.18;0.85;1.89;0.99;0.2;53.15;0.6;;0.6;;;53.75
Q24;2013;050000256;050000124;2400;;;;;;0.8;8.04;;13.63;4.03;0.32;;2.2;29.02;;;;;;29.02
Q24;2013;050000256;050000124;2500;;;;;;;7.1;;16.3;5.81;0.05;;0.5;29.76;;;;;;29.76
Q24;2013;050000256;050000124;9999;3;;30.14;;33.14;3.96;40.45;;54.62;13.21;2.34;1;3.84;119.42;0.6;1.65;2.25;6.6;47.05;208.46
Q24;2013;050000298;050000496;2000;2;;2.8;;4.8;;5.31;;;7.27;;;0.51;13.09;10;0.1;10.1;;3;30.99
Q24;2013;050000298;050000496;2400;2;;2.8;;4.8;;5.31;;;7.27;;;0.51;13.09;10;0.1;10.1;;3;30.99
Q24;2013;050000298;050000496;9999;2;;2.8;;4.8;;5.31;;;7.27;;;0.51;13.09;10;0.1;10.1;;3;30.99
Q24;2013;050000306;050000538;2000;1;;4;;5;;6;;1;;0.17;;0.2;7.37;12;0.14;12.14;;;24.51
Q24;2013;050000306;050000538;2400;1;;4;;5;;6;;1;;0.17;;0.2;7.37;12;0.14;12.14;;;24.51
Q24;2013;050000306;050000538;9999;1;;4;;5;;6;;1;;0.17;;0.2;7.37;12;0.14;12.14;;;24.51
Q24;2013;050000330;050007145;1000;;;0.5;;0.5;;;;;;;;;;;;;;0.25;0.75
Q24;2013;050000330;050007145;2000;;;;;;;5.28;;4.38;1.73;;;0.38;11.77;;0.07;0.07;;;11.84
Q24;2013;050000330;050007145;2100;;;;;;;0.98;;1.5;0.17;;;;2.65;;;;;;2.65
Q24;2013;050000330;050007145;2400;;;;;;;4.3;;2.88;1.56;;;0.38;9.12;;0.07;0.07;;;9.19
Q24;2013;050000330;050007145;9999;;;0.5;;0.5;;5.28;;4.38;1.73;;;0.38;11.77;;0.07;0.07;;0.25;12.59
Q24;2013;050000348;050002948;1000;5.66;0.83;160.47;0;166.96;7.08;20.03;3.42;28.45;9.97;0;0.61;4.98;74.54;0.2;2.76;2.96;70.48;136.71;451.65
Q24;2013;050000348;050002948;2000;0;0;0;0;0;12.83;199.86;50.4;185.8;57.62;1;20.13;4.68;532.32;0.99;1.25;2.24;0;0;534.56
Q24;2013;050000348;050002948;2100;0;0;0;0;0;12.83;199.86;50.4;185.8;57.62;1;20.13;4.68;532.32;0.99;1.25;2.24;0;0;534.56
