BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;030000061;030780092;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;4.9;1.73
INFOMED;2013;030000079;030780100;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;;4.82;1
INFOMED;2013;030000087;030780118;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;3;1.5
INFOMED;2013;030000095;030780126;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;030002158;2;
INFOMED;2013;030002208;030002158;;1;;;;;;1;;;;;0;0;0;0;0;0;;;;;;0.58;0.4
INFOMED;2013;030780548;030000194;;1;;;;;;1;;;;;0;0;1;1;0;1;1;0;1;1;630781839;1;0.09
INFOMED;2013;030781116;030000426;0;0;1;;;;0;0;1;;;;0;0;0;0;0;1;1;0;1;0;;3;0.77
INFOMED;2013;030781637;030780100;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;;0.2;0.2
INFOMED;2013;030785430;030785422;0;0;1;0;0;0;0;0;0;;;;0;0;0;0;0;1;1;0;1;0;;2;0.2
INFOMED;2013;040000051;040780173;;;;;;;1;;;;;;;1;;;;;;;;;;;
INFOMED;2013;040000093;040780215;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;;2.2;0.8
INFOMED;2013;040000135;050002948;1;0;0;0;0;0;1;0;0;;;;0;0;0;0;0;1;1;1;0;1;;1;0.5
INFOMED;2013;040000911;040788879;1;0;0;;;;;;;1;0;0;0;0;0;0;1;1;1;1;0;0;;2.3;1
INFOMED;2013;040780389;040000150;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;1;0
INFOMED;2013;040780470;040000192;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;130810740;0.5;0.5
INFOMED;2013;040780488;040000200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;0;0;;0.01;0.11
INFOMED;2013;040782021;130037815;;;;;;;1;;;;;;0;0;1;0;0;1;0;1;0;0;;0.5;0.3
INFOMED;2013;040784860;330029208;0;0;1;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;;0.1;0.3
INFOMED;2013;050000041;130037815;;;;;;;0;0;1;;;;;;;;;;1;;;0;;1;0.2
INFOMED;2013;050000066;050000082;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;0;0;0;;0.06;0.17
