BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2013;310016977;310781406;1;1;155;51;9951;16043;38422;39;39;24;24;47.7;47.7;1;1;1;1;66;55;86;;5;13;7;18;13;;4;70.7;8;69;95.3;;6.46;18.8
MCOPED;2013;310780085;310000021;1;1;3;6;272;1595;285;0;;10;;5;;0;0;1;1;;;;;;;;8;4;;;;1;4.8;1;;;0.15
MCOPED;2013;310780135;310000054;1;1;2;7;186;1012;295;6;;;;6;;0;0;1;;;;;;;;;8;4;;;;1;4.8;1;;;0.15
MCOPED;2013;310780259;310000096;1;0;2;1;14;0;24;;;4;2;0.5;0.5;0;0;1;1;2;2;;;2;;;;;;;0.5;;0.5;;;0.1;
MCOPED;2013;320000086;320780117;1;0;16;0;999;325;2755;5;4;0;0;2.75;1.75;;;;;3;6;0;0;0;14;1;3;0;0;0;3.5;3;8.08;0;0;0;13.2
MCOPED;2013;330000555;330781204;1;0;6;0;698;0;1083;3;3;;;3;3;0;0;;1;3;2;4;;;2;2;;1;;1;3.72;;2.36;4.01;;0.1;0.67
MCOPED;2013;330000605;330781253;1;0;12;2;1680;693;4045;8;8;3;3;4.08;4.08;1;1;0;0;6;6;2;;1;5;1;3;1;;;4.78;13;7.38;1.92;;1;15.98
MCOPED;2013;330780479;330000274;1;;5;5;1;0;2;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
MCOPED;2013;330781360;330781196;1;1;116;20;9572;4716;35844;19;19;16;14;22.36;21.13;;;;;19;47;26;1;5;42;6;19;10;1;4;24.87;10;62.89;33.04;1.33;6.63;51.3
MCOPED;2013;330783648;330781196;1;;12;5;1026;1762;4575;2;0;8;;3.8;;0;;1;;14;;;;;17;5;;;;1;11.82;20;;;;0.4;24.71
MCOPED;2013;330802752;330781196;1;;23;0;318;1969;5288;0;;;;;;;;;;23;;;;;17;;;;;7;20.36;8;;;;2.54;17.37
MCOPED;2013;340000025;340780048;1;;;4;0;1087;0;;;2;2;1.1;1.1;0;0;0;0;2;;;;;;;;;;;2;;;;;;
MCOPED;2013;340000033;340780055;1;1;23;1;1976;602;4697;7;7;1;1;4.74;3.74;1;1;;;;9;6;1;;4;;2;1;;;;1;7.44;4.54;0.25;;3.75
MCOPED;2013;340000223;340011295;1;0;14;0;1237;246;2947;4;4;1;1;1.81;1.79;0;;1;;4;5;3;;;6;2;3;1;;;3.96;2;3.96;3.68;;;6.23
MCOPED;2013;340782085;340780477;1;;10;4;676;809;2139;5;4;5;3;6.3;5.13;;;;;;7;5;;;6;1;3;4;;6;0.92;6;9.62;8.48;;3.4;13.33
MCOPED;2013;340785161;340780477;1;1;36;5;6102;1521;11958;7;;5;1;8.13;0.1;;;;;8;23;28;;1;14;4;29;11;;;8.87;6;47.01;37.06;;0.5;21.5
MCOPED;2013;340796663;340780477;1;1;40;17;3651;5941;12786;4;3;5;1;4.78;2.65;;;;;27;58;47;1;5;37;10;33;16;;2;34.8;21;81.19;59.24;0.3;3.4;53.34
MCOPED;2013;350000147;350000022;1;0;12;2;1085;315;2295;5;5;2;2;3.26;3.26;0;0;1;1;3;5;11;;;2;1;6;14;;;3.8;2;10;14.9;;;3.5
MCOPED;2013;350000154;350000030;1;1;5;1;719;63;1532;2;2;2;2;1.35;1.35;0;0;1;1;4;1;0;;;8;5;3;3;;;6.31;5;1.44;0.86;;;6.55
MCOPED;2013;350000162;350000048;1;0;9;1;671;59;1766;2;2;0;0;1.44;1.22;0;0;1;1;4;3;2;3;0;4;1;1;4;0;0;3.01;2;3.9;4.79;0.03;0;4.47
MCOPED;2013;350000188;350000055;1;0;9;0;559;75;1554;3;3;;;2.6;2.6;0;0;1;1;3;;;;;1;1;2;2;;;3.8;;1.3;1.32;;;1
MCOPED;2013;350000741;350005179;1;0;;2;0;530;0;0;0;0;0;0;0;;;;;0;1;0;0;0;2;0;0;0;1;1;0;4;1;0;0.5;1.36;3.78
MCOPED;2013;350007084;350005179;1;1;85;2;6014;1428;22447;25;16;0;0;12.57;11.13;1;1;1;0;30;49;49;0;4;31;8;46;14;0;6;32.85;16;84.18;57.95;0;5;42.59
MCOPED;2013;360000137;360000053;1;1;15;15;899;65;2564;4;4;1;1;3.76;3.76;;;1;;9;3;5;;;4;4;;3;;;12.43;1;3;6.89;;;4.23
MCOPED;2013;370000499;370000481;1;1;125;16;6196;5311;24908;;;;;;;;;;;104;49;60;3;2;96;80;42;33;6;4;161.05;59;79.03;85.09;5.41;3.67;144.09
MCOPED;2013;380000034;380780049;1;1;15;0;1338;253;3339;5;4;3;3;4.67;4.13;1;1;0;0;;5;;;;7;;8;;;;;3;10.44;;;;9.42
MCOPED;2013;380000067;380780080;1;1;45;14;7190;8286;24181;16;16;7;4;17.7;16.65;0;0;1;0;20;19;16;1;1;5;3;15;9;1;6;18.37;9;30.78;22.78;1.92;4.57;11.91
