BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2013;430004358;630000990;121CA;;;;5;5;;;218;;
DIALYSE;2013;430004358;630000990;TOT;0;;;;;;;;21;8
DIALYSE;2013;430004408;630000990;112AX;;;;;0;188;;;;
DIALYSE;2013;430004408;630000990;1140X;;;;5;16;2172;;;;
DIALYSE;2013;430004408;630000990;TOT;0;;;;;;;;8;0
DIALYSE;2013;440000016;440000057;112AX;;;;2;4;632;;;;
DIALYSE;2013;440000016;440000057;112BA;;;;19;70;11090;;;;
DIALYSE;2013;440000016;440000057;1130X;;;;0;4;572;;;;
DIALYSE;2013;440000016;440000057;121AA;;;;;;;;22;;
DIALYSE;2013;440000016;440000057;121CA;;;;;0;;;18;;
DIALYSE;2013;440000016;440000057;122AX;;;;;2;;;33;;
DIALYSE;2013;440000016;440000057;122BA;;;;;2;;;162;;
DIALYSE;2013;440000016;440000057;TOT;0;;;;;;1;;161;9
DIALYSE;2013;440000271;440000289;112BA;;;;20;77;12005;;;;
DIALYSE;2013;440000271;440000289;112BE;;;;4;5;414;;;;
DIALYSE;2013;440000271;440000289;1130X;;;;8;8;1074;;;;
DIALYSE;2013;440000271;440000289;TOT;0;;;;;;;;26;3
DIALYSE;2013;440005080;440002590;1140X;;;;8;11;1566;;;;
DIALYSE;2013;440005080;440002590;1150A;;;;6;6;1009;;;;
DIALYSE;2013;440005080;440002590;121AA;;;;;86;;;3607;;
DIALYSE;2013;440005080;440002590;121CA;;;;51;51;;;2708;;
DIALYSE;2013;440005080;440002590;121CE;;;;4;4;;;127;;
DIALYSE;2013;440005080;440002590;TOT;0;;;;;;;;63;63
DIALYSE;2013;440027589;440002590;1140X;;;;6;6;815;;;;
DIALYSE;2013;440036176;440002590;112BA;;;;18;80;12944;;;;
DIALYSE;2013;440036176;440002590;TOT;0;;;;;;;;12;
DIALYSE;2013;440036218;440002590;1140X;;;;6;7;1167;;;;
DIALYSE;2013;440036473;440002590;1140X;;;;12;11;1335;;;;
DIALYSE;2013;440036499;440002590;112AX;;;;8;19;4021;;;;
DIALYSE;2013;440036499;440002590;112BA;;;;32;98;14197;;;;
DIALYSE;2013;440036499;440002590;1130X;;;;8;31;4525;;;;
DIALYSE;2013;440036499;440002590;122AX;;;;4;1;;;448;;
DIALYSE;2013;440036499;440002590;TOT;0;;;;;;;;14;1
DIALYSE;2013;440039568;440002590;1130X;;;;16;51;7536;;;;
DIALYSE;2013;440039568;440002590;1140X;;;;16;6;1054;;;;
DIALYSE;2013;440039568;440002590;TOT;0;;;;;;;;18;
DIALYSE;2013;440042513;440002590;1140X;;;;14;11;1454;;;;
DIALYSE;2013;440046910;440002590;1140X;;;;11;19;3206;;;;
DIALYSE;2013;440046910;440002590;TOT;0;;;;;;;;6;
DIALYSE;2013;450002613;450000088;112AX;;;;2;5;17;;;;
DIALYSE;2013;450002613;450000088;112BA;;;;13;76;11239;;;;
DIALYSE;2013;450002613;450000088;122AX;;;;1;1;;;10;;
DIALYSE;2013;450002613;450000088;122BA;;;;2;3;;;15;;
DIALYSE;2013;450002613;450000088;AUTRE;;;;;4;125;;;;
DIALYSE;2013;450002613;450000088;TOT;0;;;;;;2;;52;6
DIALYSE;2013;450002613;450000088;VACAN;;;;;;117;;;;
DIALYSE;2013;450010772;450001201;1140X;;;;7;19;2938;;;;
DIALYSE;2013;450010772;450001201;TOT;0;;;;;;;;5;
DIALYSE;2013;450011549;450001201;1140X;;;;12;30;2770;;;;
DIALYSE;2013;450012935;450001466;112AX;;;;1;0;161;;;;
DIALYSE;2013;450012935;450001466;112BA;;;;12;66;10551;;;;
DIALYSE;2013;450012935;450001466;1130X;;;;5;19;2367;;;;
DIALYSE;2013;450012935;450001466;TOT;0;;;;;;;;16;
DIALYSE;2013;450013818;330057597;112AX;;;;1;1;12;;;;
DIALYSE;2013;450013818;330057597;1130X;;;;13;26;4232;;;;
DIALYSE;2013;450013818;330057597;TOT;0;;;;;;1;;;
DIALYSE;2013;450015342;450001201;1140X;;;;6;0;1199;;;;
DIALYSE;2013;450017694;450001201;1140X;;;;9;21;3988;;;;
DIALYSE;2013;450017694;450001201;121AA;;;;;9;;;513;;
DIALYSE;2013;450017694;450001201;121CA;;;;10;10;;;591;;
DIALYSE;2013;450017694;450001201;TOT;0;;;;;;;;23;
DIALYSE;2013;450018312;450018296;112BA;;;;14;62;9046;;;;
DIALYSE;2013;450018312;450018296;1130X;;;;3;11;1726;;;;
DIALYSE;2013;450018312;450018296;121AA;;;;;3;;;;;
DIALYSE;2013;450018312;450018296;TOT;0;;;;;;;;14;2
DIALYSE;2013;450018395;450001466;1140X;;;;7;9;1549;;;;
DIALYSE;2013;450018395;450001466;TOT;0;;;;;;;;3;
DIALYSE;2013;450018460;330057597;112AX;;;;2;1;16;;;;
DIALYSE;2013;450018460;330057597;112BA;;;;18;86;13118;;;;
DIALYSE;2013;460000110;460780216;112AX;;;;0;0;133;;;;
DIALYSE;2013;460000110;460780216;112BA;;;;12;57;6781;;;;
DIALYSE;2013;460000110;460780216;121CA;;;;0;0;;;9;;
DIALYSE;2013;460000110;460780216;122AX;;;;1;1;;;39;;
DIALYSE;2013;460000110;460780216;122BA;;;;0;0;;;83;;
DIALYSE;2013;460000110;460780216;AUTRE;;;;;0;164;;;;
DIALYSE;2013;460000110;460780216;TOT;0;;;;;;1;;23;2
DIALYSE;2013;460004641;310000633;1140X;;;;6;11;1579;;;;
DIALYSE;2013;460004641;310000633;TOT;0;;;;;;;;3;
DIALYSE;2013;460786346;310000633;1140X;;;;6;9;1597;;;;
DIALYSE;2013;460786346;310000633;TOT;0;;;;;;;;3;
DIALYSE;2013;460786346;310000633;VACAN;;;;;1;;;;;
DIALYSE;2013;460786353;310000633;1140X;;;;6;9;1629;;;;
DIALYSE;2013;460786478;310000633;1140X;;;;6;8;1584;;;;
DIALYSE;2013;460786478;310000633;TOT;0;;;;;;;;4;
DIALYSE;2013;460786478;310000633;VACAN;;;;;1;;;;;
DIALYSE;2013;470000423;470000316;112AX;;;;11;31;2984;;;;
DIALYSE;2013;470000423;470000316;112BA;;;;26;59;8274;;;;
DIALYSE;2013;470001868;330000266;1140X;;;;15;22;3029;;;;
DIALYSE;2013;470002262;330000266;1140X;;;;14;29;3822;;;;
DIALYSE;2013;470002320;330000266;1140X;;;;16;21;3708;;;;
DIALYSE;2013;470002346;330000266;1140X;;;;7;12;1556;;;;
DIALYSE;2013;470002361;330000266;1140X;;;;7;15;2211;;;;
DIALYSE;2013;470002387;330000266;1140X;;;;7;16;2382;;;;
DIALYSE;2013;470002403;330000266;1140X;;;;17;24;3417;;;;
DIALYSE;2013;470002411;330000266;1140X;;;;7;11;1571;;;;
DIALYSE;2013;470013558;330000266;1140X;;;;16;28;3783;;;;
DIALYSE;2013;480001403;340000264;1130X;;;;9;13;2348;;;;
DIALYSE;2013;480001403;340000264;1140X;;;;;;146;;;;
DIALYSE;2013;480001403;340000264;TOT;0;;;;;;0;;3;
DIALYSE;2013;480001783;340000264;1130X;;;;12;17;2150;;;;
DIALYSE;2013;480001783;340000264;1140X;;;;12;1;268;;;;
DIALYSE;2013;480001783;340000264;TOT;1;1;;;;;0;;8;
DIALYSE;2013;490000049;490000031;112BA;;;;13;41;6147;;;;
DIALYSE;2013;490000635;490000676;112AX;;;;2;6;231;;;;
DIALYSE;2013;490000635;490000676;112BA;;;;13;54;7292;;;;
DIALYSE;2013;490000635;490000676;121AA;;;;;4;;;131;;
DIALYSE;2013;490000635;490000676;121CA;;;;10;3;;;143;;
DIALYSE;2013;490000635;490000676;122AX;;;;1;0;;;27;;
DIALYSE;2013;490000635;490000676;TOT;0;;;;;;;;60;3
DIALYSE;2013;490007499;440002590;112AX;;;;4;1;859;;;;
DIALYSE;2013;490007499;440002590;112BA;;;;36;111;16554;;;;
DIALYSE;2013;490007499;440002590;122AX;;;;3;0;;;155;;
DIALYSE;2013;490007499;440002590;TOT;1;1;18;;;;;;;
DIALYSE;2013;490008224;440002590;1140X;;;;12;34;5232;;;;
DIALYSE;2013;490008224;440002590;TOT;0;;;;;;;;8;
DIALYSE;2013;490009008;440002590;112BA;;;;16;46;7179;;;;
DIALYSE;2013;490009008;440002590;1130X;;;;16;11;1604;;;;
DIALYSE;2013;490009008;440002590;TOT;0;;;;;;;;10;
DIALYSE;2013;490011350;440002590;1140X;;;;13;19;2702;;;;
DIALYSE;2013;490015435;490011384;1140X;;;;6;9;1183;;;;
DIALYSE;2013;490015435;490011384;VACAN;;;;;;6;;;;
DIALYSE;2013;490016235;440002590;1140X;;;;6;12;1921;;;;
DIALYSE;2013;490017613;440002590;1130X;;;;8;17;2452;;;;
DIALYSE;2013;490537818;490011384;112AX;;;;;0;16;;;;
DIALYSE;2013;490537818;490011384;112BA;;;;42;123;15779;;;;
DIALYSE;2013;490537818;490011384;112BE;;;;;0;3281;;;;
DIALYSE;2013;490537818;490011384;1130X;;;;26;26;3741;;;;
DIALYSE;2013;490537818;490011384;TOT;0;;;;;;1;;62;0
DIALYSE;2013;500000187;500000013;112AX;;;;1;0;24;;;;
DIALYSE;2013;500000187;500000013;112BA;;;;12;42;5862;;;;
DIALYSE;2013;500000187;500000013;1130X;;;;8;15;2078;;;;
DIALYSE;2013;500000187;500000013;1140X;;;;;16;3096;;;;
DIALYSE;2013;500000187;500000013;1150A;;;;;1;310;;;;
DIALYSE;2013;500000187;500000013;121AA;;;;;11;;;;;
DIALYSE;2013;500000187;500000013;122AX;;;;1;0;;;49;;
DIALYSE;2013;500000187;500000013;122BA;;;;1;;;;;;
DIALYSE;2013;500000187;500000013;AUTRE;;;;;41;;;;;
DIALYSE;2013;500000187;500000013;TOT;0;;;;;;2;;22;6
DIALYSE;2013;500000187;500000013;VACAN;;;;;0;395;;;;
DIALYSE;2013;500000450;500000112;112AX;;;;;7;195;;;;
DIALYSE;2013;500000450;500000112;112BA;;;;15;131;5882;;;;
DIALYSE;2013;500000450;500000112;1130X;;;;10;76;3387;;;;
DIALYSE;2013;500000450;500000112;122AX;;;;1;4;;;104;;
DIALYSE;2013;500000450;500000112;TOT;0;;;;;;;;255;2
DIALYSE;2013;500021316;350000626;112AX;;;;4;3;411;;;;
DIALYSE;2013;500021316;350000626;112BA;;;;16;19;2325;;;;
DIALYSE;2013;500021316;350000626;1130X;;;;16;20;2646;;;;
DIALYSE;2013;500021316;350000626;1140X;;;;8;7;886;;;;
DIALYSE;2013;500021373;140000852;1140X;;;;10;15;1669;;;;
DIALYSE;2013;500021373;140000852;1150A;;;;1;1;61;;;;
DIALYSE;2013;500021373;140000852;121AA;;;;;18;;;412;;
DIALYSE;2013;500021373;140000852;121CA;;;;9;9;;;347;;
DIALYSE;2013;500021381;140000852;1140X;;;;4;6;887;;;;
DIALYSE;2013;500021399;140000852;1140X;;;;8;15;2303;;;;
DIALYSE;2013;500021399;140000852;1150A;;;;1;1;306;;;;
DIALYSE;2013;500021399;140000852;121AA;;;;;6;;;219;;
DIALYSE;2013;500021399;140000852;121CA;;;;7;7;;;407;;
DIALYSE;2013;500021415;140000852;1140X;;;;10;18;2505;;;;
DIALYSE;2013;510002470;510000029;112BE;;;;1;0;6;;;;
DIALYSE;2013;510002470;510000029;TOT;0;;;;;;1;;3;1
DIALYSE;2013;510004302;510000029;112AX;;;;2;7;628;;;;
DIALYSE;2013;510004302;510000029;112BA;;;;43;154;18193;;;;
DIALYSE;2013;510004302;510000029;121AA;;;;;2;;;;;
DIALYSE;2013;510004302;510000029;121CA;;;;2;1;;;;;
DIALYSE;2013;510004302;510000029;122BA;;;;2;3;;;;;
DIALYSE;2013;510004302;510000029;TOT;0;;;;;;5;;109;8
DIALYSE;2013;510009491;510000953;112AX;;;;2;1;101;;;;
DIALYSE;2013;510009491;510000953;1130X;;;;30;92;13915;;;;
DIALYSE;2013;510009491;510000953;1150A;;;;1;1;184;;;;
DIALYSE;2013;510009491;510000953;121AA;;;;;49;;;6511;;
DIALYSE;2013;510009491;510000953;121CA;;;;49;34;;;4913;;
DIALYSE;2013;510009491;510000953;122AX;;;;49;49;;;264;;
DIALYSE;2013;510009491;510000953;TOT;0;;;;;;5;;78;40
DIALYSE;2013;510010184;510000953;1140X;;;;8;0;953;;;;
DIALYSE;2013;510010192;510000953;1140X;;;;6;8;942;;;;
DIALYSE;2013;510010192;510000953;TOT;0;;;;;;1;;;
DIALYSE;2013;510010754;510000953;1140X;;;;25;54;6587;;;;
DIALYSE;2013;510010754;510000953;TOT;0;;;;;;;;9;0
DIALYSE;2013;510011463;510000953;1140X;;;;7;12;1297;;;;
DIALYSE;2013;510011463;510000953;TOT;0;;;;;;1;;;
DIALYSE;2013;520000753;510000953;1140X;;;;8;15;1685;;;;
DIALYSE;2013;520000753;510000953;TOT;0;;;;;;1;;;
DIALYSE;2013;520003161;510000953;1140X;;;;9;9;1448;;;;
DIALYSE;2013;520003161;510000953;TOT;0;;;;;;1;;1;
DIALYSE;2013;520004052;510000953;1130X;;;;11;15;2571;;;;
DIALYSE;2013;520004052;510000953;TOT;0;;;;;;1;;8;
DIALYSE;2013;520780214;520000118;112BA;;;;27;311;17509;;;;
DIALYSE;2013;520780214;520000118;1130X;;;;8;28;2003;;;;
DIALYSE;2013;520780214;520000118;TOT;0;;;;;;2;;;
DIALYSE;2013;530000264;530000371;112AX;;;;2;0;46;;;;
DIALYSE;2013;530000264;530000371;112BA;;;;8;33;5013;;;;
DIALYSE;2013;530000264;530000371;112BE;;;;;1;13;;;;
DIALYSE;2013;530000264;530000371;1130X;;;;8;7;1126;;;;
DIALYSE;2013;530000264;530000371;TOT;0;;;;;;0;;22;0
DIALYSE;2013;530002898;440002590;112BA;;;;16;53;7699;;;;
DIALYSE;2013;530002898;440002590;1130X;;;;16;8;1086;;;;
DIALYSE;2013;530002898;440002590;TOT;0;;;;;;;;16;
DIALYSE;2013;530006188;440002590;1140X;;;;6;4;718;;;;
DIALYSE;2013;530006188;440002590;TOT;0;;;;;;;;1;
DIALYSE;2013;540000478;540003449;112BA;;;;21;92;12554;;;;
DIALYSE;2013;540000478;540003449;TOT;0;;;;;;;;27;
DIALYSE;2013;540000486;540000932;112BA;;;;23;345;21853;;;;
DIALYSE;2013;540000981;540001112;112AX;;;;18;6;2807;;;;
DIALYSE;2013;540000981;540001112;1130X;;;;26;40;6558;;;;
DIALYSE;2013;540000981;540001112;1150A;;;;17;17;3003;;;;
DIALYSE;2013;540000981;540001112;121AA;;;;;50;;;2548;;
DIALYSE;2013;540000981;540001112;121CA;;;;41;41;;;2088;;
DIALYSE;2013;540000981;540001112;122AX;;;;4;10;;;278;;
DIALYSE;2013;540000981;540001112;TOT;0;;;;;;;;124;63
DIALYSE;2013;540001096;570010181;112BA;;;;14;51;6845;;;;
DIALYSE;2013;540001096;570010181;122AX;;;;1;1;;;9;;
DIALYSE;2013;540002698;540002078;112BA;;;;19;85;11314;;;;
DIALYSE;2013;540002698;540002078;112BE;;;;6;141;1271;;;;
DIALYSE;2013;540002698;540002078;121CE;;;;1;1;;;16;;
DIALYSE;2013;540002698;540002078;122BA;;;;2;;;;0;;
DIALYSE;2013;540002698;540002078;TOT;0;;;;;;2;;651;37
DIALYSE;2013;540002698;540002078;VACAN;;;;1;;;;;;
DIALYSE;2013;540008380;540001112;1130X;;;;25;54;9014;;;;
DIALYSE;2013;540008380;540001112;1140X;;;;20;19;2797;;;;
DIALYSE;2013;540018876;540001112;1140X;;;;8;6;805;;;;
DIALYSE;2013;550000012;550000020;112AX;;;;2;1;140;;;;
DIALYSE;2013;550000012;550000020;112BA;;;;19;166;8416;;;;
DIALYSE;2013;550000012;550000020;121AA;;;;;11;;;;;
DIALYSE;2013;550000012;550000020;121CA;;;;;7;;;;;
DIALYSE;2013;550000012;550000020;122AX;;;;;10;;;0;;
DIALYSE;2013;550000012;550000020;122BA;;;;;18;;;;;
DIALYSE;2013;550000012;550000020;TOT;0;;;;;;;;37;10
DIALYSE;2013;550002885;540001112;1130X;;;;8;20;2923;;;;
DIALYSE;2013;550002885;540001112;1140X;;;;8;2;283;;;;
DIALYSE;2013;550005219;540001112;1130X;;;;8;8;857;;;;
DIALYSE;2013;550005219;540001112;1140X;;;;8;11;1799;;;;
DIALYSE;2013;550005219;540001112;TOT;1;1;8;;;;;;;
DIALYSE;2013;560000127;560023210;112AX;;;;2;0;212;;;;
DIALYSE;2013;560000127;560023210;112BA;;;;14;165;7924;;;;
DIALYSE;2013;560000127;560023210;1130X;;;;5;27;1182;;;;
DIALYSE;2013;560000127;560023210;121CE;;;;1;1;;;11;;
DIALYSE;2013;560000127;560023210;122AX;;;;1;3;;;135;;
DIALYSE;2013;560000127;560023210;TOT;0;;;;;;2;;59;10
DIALYSE;2013;560000135;560005746;112BA;;;;13;144;6497;;;;
DIALYSE;2013;560000135;560005746;TOT;0;;;;;;;;30;
DIALYSE;2013;560000143;560014748;112BA;;;;13;48;6886;;;;
DIALYSE;2013;560000143;560014748;TOT;0;;;;;;1;;19;0
DIALYSE;2013;560004004;350000626;112BA;;;;16;45;6367;;;;
DIALYSE;2013;560006348;350000626;112AX;;;;2;4;11;;;;
DIALYSE;2013;560009490;440002590;1140X;;;;5;1;121;;;;
DIALYSE;2013;560009508;440002590;1140X;;;;6;4;928;;;;
DIALYSE;2013;560009524;440002590;1130X;;;;8;12;1950;;;;
DIALYSE;2013;560009524;440002590;1140X;;;;6;17;2380;;;;
DIALYSE;2013;560009524;440002590;TOT;0;;;;;;;;11;
DIALYSE;2013;560013740;350000626;1140X;;;;10;5;744;;;;
DIALYSE;2013;560014078;440002590;1140X;;;;6;6;972;;;;
DIALYSE;2013;560014128;440002590;1140X;;;;6;3;448;;;;
DIALYSE;2013;560014128;440002590;TOT;0;;;;;;;;1;
DIALYSE;2013;560019309;350000626;112AX;;;;4;4;480;;;;
DIALYSE;2013;560020208;350000626;1130X;;;;12;15;2551;;;;
DIALYSE;2013;560023152;440002590;112BA;;;;26;72;11935;;;;
DIALYSE;2013;560023152;440002590;TOT;1;1;11;;;;;;12;
DIALYSE;2013;560023848;350000626;1130X;;;;8;24;3292;;;;
DIALYSE;2013;570000091;750050759;112BA;;;;18;157;7766;;;;
DIALYSE;2013;570000091;750050759;TOT;0;;;;;;2;;19;
DIALYSE;2013;570000349;570005165;112BA;;;;24;96;13463;;;;
DIALYSE;2013;570000349;570005165;121AA;;;;;1;;;1;;
DIALYSE;2013;570000349;570005165;121CA;;;;1;1;;;13;;
DIALYSE;2013;570000349;570005165;122AX;;;;2;;;;15;;
DIALYSE;2013;570000349;570005165;122BA;;;;5;1;;;37;;
DIALYSE;2013;570000349;570005165;TOT;0;;;;;;;;57;4
DIALYSE;2013;570000349;570005165;VACAN;;;;;;66;;;;
DIALYSE;2013;570003905;540001112;1130X;;;;16;39;5499;;;;
DIALYSE;2013;570003905;540001112;1140X;;;;8;10;1486;;;;
DIALYSE;2013;570004002;570013797;1130X;;;;4;17;2069;;;;
DIALYSE;2013;570004002;570013797;1140X;;;;6;5;667;;;;
DIALYSE;2013;570010082;570013797;112AX;;;;4;5;446;;;;
DIALYSE;2013;570010082;570013797;1130X;;;;28;121;18518;;;;
DIALYSE;2013;570010082;570013797;1140X;;;;12;15;2343;;;;
DIALYSE;2013;570010082;570013797;1150A;;;;2;2;315;;;;
DIALYSE;2013;570010082;570013797;121AA;;;;;26;;;1232;;
DIALYSE;2013;570010082;570013797;121CA;;;;11;11;;;576;;
DIALYSE;2013;570010082;570013797;122AX;;;;2;0;;;68;;
DIALYSE;2013;570010082;570013797;TOT;1;1;7;;;;2;;28;15
DIALYSE;2013;570011635;540001112;1130X;;;;8;22;2697;;;;
DIALYSE;2013;570015636;570013797;1140X;;;;6;4;947;;;;
DIALYSE;2013;570022830;540001112;1140X;;;;6;6;819;;;;
DIALYSE;2013;570026252;570023630;112BA;;;;28;95;14542;;;;
DIALYSE;2013;570026682;570005165;112BA;;;;12;54;7556;;;;
DIALYSE;2013;570026682;570005165;121CA;;;;3;1;;;;;
DIALYSE;2013;570026682;570005165;122AX;;;;2;2;;;19;;
DIALYSE;2013;570026682;570005165;122BA;;;;3;1;;;31;;
DIALYSE;2013;570026682;570005165;TOT;0;;;;;;;;38;4
DIALYSE;2013;580004588;630000990;1130X;;;;12;38;5347;;;;
DIALYSE;2013;580004588;630000990;1140X;;;;6;10;1359;;;;
DIALYSE;2013;580004588;630000990;121AA;;;;;6;;;296;;
DIALYSE;2013;580004588;630000990;121CA;;;;9;9;;;477;;
DIALYSE;2013;580004588;630000990;TOT;0;;;;;;;;20;7
DIALYSE;2013;580004638;630000990;1140X;;;;5;6;1125;;;;
DIALYSE;2013;580972693;580780039;112AX;;;;2;4;445;;;;
DIALYSE;2013;580972693;580780039;112BA;;;;22;94;12184;;;;
DIALYSE;2013;580972693;580780039;121AA;;;;;1;;;306;;
DIALYSE;2013;580972693;580780039;121CA;;;;3;1;;;454;;
DIALYSE;2013;580972693;580780039;122AX;;;;2;0;;;59;;
DIALYSE;2013;580972693;580780039;122BA;;;;11;3;;;77;;
DIALYSE;2013;590000337;590781415;112BA;;;;20;100;15301;;;;
DIALYSE;2013;590000337;590781415;112BE;;;;0;0;2;;;;
DIALYSE;2013;590000337;590781415;1150A;;;;2;;;;;;
DIALYSE;2013;590000337;590781415;121AA;;;;;6;;;;;
DIALYSE;2013;590000337;590781415;122BA;;;;2;6;;;43;;
DIALYSE;2013;590000337;590781415;TOT;0;;;;;;;;85;30
DIALYSE;2013;590000428;590781605;112BA;;;;13;55;8360;;;;
DIALYSE;2013;590000428;590781605;121AA;;;;;2;;;35;;
DIALYSE;2013;590000428;590781605;121CA;;;;2;0;;;31;;
DIALYSE;2013;590000428;590781605;122AX;;;;2;2;;;8;;
DIALYSE;2013;590000428;590781605;122BA;;;;2;4;;;74;;
DIALYSE;2013;590000428;590781605;TOT;0;;;;;;;;35;4
DIALYSE;2013;590000469;590781662;112BA;;;;8;34;4696;;;;
DIALYSE;2013;590000535;590781803;112AX;;;;2;;0;;;;
DIALYSE;2013;590000535;590781803;112BA;;;;10;99;6429;;;;
DIALYSE;2013;590000535;590781803;1130X;;;;10;14;914;;;;
DIALYSE;2013;590000535;590781803;1140X;;;;12;29;4470;;;;
DIALYSE;2013;590000535;590781803;121AA;;;;;2;;;2;;
DIALYSE;2013;590000535;590781803;121CA;;;;1;;;;0;;
DIALYSE;2013;590000535;590781803;TOT;0;;;;;;1;;17;0
DIALYSE;2013;590000535;590781803;VACAN;;;;;;16;;;;
DIALYSE;2013;590000618;590782215;112AX;;;;3;7;1013;;;;
DIALYSE;2013;590000618;590782215;112BA;;;;32;155;24108;;;;
DIALYSE;2013;590000618;590782215;1130X;;;;12;39;5455;;;;
DIALYSE;2013;590000618;590782215;122AX;;;;3;10;;;149;;
DIALYSE;2013;590000618;590782215;122BA;;;;0;0;;;8;;
DIALYSE;2013;590000618;590782215;TOT;0;;;;;;;;50;11
DIALYSE;2013;590001004;590783239;112AX;;;;2;0;124;;;;
DIALYSE;2013;590001004;590783239;112BA;;;;23;94;11184;;;;
DIALYSE;2013;590001004;590783239;1130X;;;;12;10;1659;;;;
DIALYSE;2013;590001004;590783239;122AX;;;;1;0;;;1;;
DIALYSE;2013;590001004;590783239;TOT;0;;;;;;;;66;2
DIALYSE;2013;590006607;590780193;112BA;;;;;0;14;;;;
DIALYSE;2013;590006607;590780193;112BE;;;;6;4;706;;;;
DIALYSE;2013;590006607;590780193;122AX;;;;;0;;;5;;
DIALYSE;2013;590008041;590008033;112AX;;;;1;0;141;;;;
DIALYSE;2013;590008041;590008033;112BA;;;;16;66;8687;;;;
DIALYSE;2013;590008306;620112581;1140X;;;;11;16;2389;;;;
DIALYSE;2013;590008306;620112581;TOT;0;;;;;;4;;5;
DIALYSE;2013;590015418;590799995;1140X;;;;9;22;3776;;;;
DIALYSE;2013;590023438;590799995;1130X;;;;9;62;8966;;;;
DIALYSE;2013;590023438;590799995;1140X;;;;17;56;8647;;;;
DIALYSE;2013;590024618;590799995;1140X;;;;19;44;6954;;;;
DIALYSE;2013;590024659;590799995;1130X;;;;5;4;561;;;;
DIALYSE;2013;590024659;590799995;1140X;;;;15;47;6825;;;;
DIALYSE;2013;590031738;590799995;1140X;;;;25;46;6910;;;;
DIALYSE;2013;590034815;590001467;1140X;;;;8;10;1288;;;;
DIALYSE;2013;590034815;590001467;TOT;0;;;;;;2;;;
DIALYSE;2013;590035200;590799995;1140X;;;;9;22;3451;;;;
DIALYSE;2013;590035390;620112581;1140X;;;;12;12;2424;;;;
DIALYSE;2013;590035390;620112581;TOT;0;;;;;;1;;3;
DIALYSE;2013;590040317;590799995;1140X;;;;7;9;2638;;;;
DIALYSE;2013;590040325;590799995;1140X;;;;9;19;2722;;;;
DIALYSE;2013;590040325;590799995;1150A;;;;6;;;;;;
DIALYSE;2013;590041471;620112581;1140X;;;;14;17;3063;;;;
DIALYSE;2013;590041471;620112581;TOT;0;;;;;;3;;3;
DIALYSE;2013;590044640;590799995;1140X;;;;9;29;4451;;;;
DIALYSE;2013;590045514;590799995;1140X;;;;19;44;6998;;;;
DIALYSE;2013;590045951;590799995;1140X;;;;13;24;3211;;;;
DIALYSE;2013;590046579;620112581;1140X;;;;12;31;4609;;;;
DIALYSE;2013;590046579;620112581;TOT;0;;;;;;4;;7;
DIALYSE;2013;590046751;590799995;1140X;;;;13;29;4470;;;;
DIALYSE;2013;590046769;590799995;1140X;;;;13;27;3775;;;;
DIALYSE;2013;590047361;590799995;1140X;;;;7;16;2004;;;;
DIALYSE;2013;590047866;590799995;1140X;;;;7;25;2995;;;;
DIALYSE;2013;590047874;590799995;1130X;;;;9;23;2514;;;;
DIALYSE;2013;590780268;590053955;112BA;;;;26;133;17976;;;;
DIALYSE;2013;590780268;590053955;1130X;;;;14;52;5284;;;;
DIALYSE;2013;590780268;590053955;122AX;;;;1;1;;;4;;
DIALYSE;2013;590780268;590053955;TOT;0;;;;;;9;;70;3
DIALYSE;2013;590780383;590000204;112AX;;;;;;908;;;;
DIALYSE;2013;590780383;590000204;112BA;;;;41;139;20089;;;;
DIALYSE;2013;590780383;590000204;1130X;;;;14;67;9988;;;;
DIALYSE;2013;590780383;590000204;TOT;0;;;;;;3;;;
DIALYSE;2013;590784484;590001467;112AX;;;;2;0;65;;;;
DIALYSE;2013;590784484;590001467;112BA;;;;22;103;15524;;;;
DIALYSE;2013;590784484;590001467;1130X;;;;8;6;1042;;;;
DIALYSE;2013;590784484;590001467;121AA;;;;;0;;;25;;
DIALYSE;2013;590784484;590001467;121CA;;;;6;4;;;205;;
DIALYSE;2013;590784484;590001467;TOT;0;;;;;;2;;33;0
DIALYSE;2013;590784914;590799995;1150A;;;;24;24;5078;;;;
DIALYSE;2013;590784914;590799995;121AA;;;;;91;;;4989;;
DIALYSE;2013;590784914;590799995;121CA;;;;60;60;;;2805;;
DIALYSE;2013;590784914;590799995;TOT;0;;;;;;;;;85
DIALYSE;2013;590801106;590782421;112BA;;;;29;108;15549;;;;
DIALYSE;2013;590801106;590782421;121CA;;;;5;;;;;;
DIALYSE;2013;590801106;590782421;122AX;;;;4;1;;;27;;
DIALYSE;2013;590801106;590782421;122BA;;;;4;1;;;;;
DIALYSE;2013;590801106;590782421;TOT;0;;;;;;3;;60;2
DIALYSE;2013;590806428;620112581;1140X;;;;14;29;5276;;;;
DIALYSE;2013;590806428;620112581;TOT;0;;;;;;4;;7;
DIALYSE;2013;590810099;620112581;1140X;;;;10;23;3504;;;;
DIALYSE;2013;590810099;620112581;TOT;0;;;;;;1;;6;
DIALYSE;2013;590811006;590001467;1140X;;;;8;10;1616;;;;
DIALYSE;2013;590811006;590001467;TOT;0;;;;;;2;;;
