BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2013;310781000;310788880;VASC;2;2;2170;;;;2;1
IMAGES;2013;310781067;310788898;MAMM;1;1;;;;2016;;
IMAGES;2013;310781067;310788898;RADIO;8;7;9268;;;25238;;0
IMAGES;2013;310781422;310781562;RADIO;1;1;251;;;185;;0
IMAGES;2013;310781505;310000492;IRM;1;;;;;;;
IMAGES;2013;310781505;310000492;LITHO;1;;;;;;;
IMAGES;2013;310781505;310000492;MAMM;1;;;;;;;
IMAGES;2013;310781505;310000492;RADIO;3;;;;;;;
IMAGES;2013;310781505;310000492;SCAN;2;;;;;;;
IMAGES;2013;310781695;750043994;RADIO;1;;;;;;;0
IMAGES;2013;310781984;310014378;RADIO;1;1;1908;;;;;
IMAGES;2013;310782347;310789136;CAM;2;2;1235;;;2042;0;0
IMAGES;2013;310782347;310789136;IRM;1;1;324;;;3478;0;0
IMAGES;2013;310782347;310789136;MAMM;1;1;;;;2830;;
IMAGES;2013;310782347;310789136;RADIO;2;2;2299;;;1685;1;1
IMAGES;2013;310782347;310789136;SCAN;1;1;1250;;;6899;0;1
IMAGES;2013;310782347;310789136;TOMO;1;1;41;;33;2655;0;0
IMAGES;2013;310783048;310781406;CAM;2;2;1632;;81;2320;0;0
IMAGES;2013;310783048;310781406;IRM;2;2;4161;;22;5621;46;0
IMAGES;2013;310783048;310781406;RADIO;10;10;45010;;33;17881;775;1
IMAGES;2013;310783048;310781406;SCAN;2;2;25757;;116;3786;621;1
IMAGES;2013;310783048;310781406;TOMO;1;1;1137;;142;2332;23;0
IMAGES;2013;310783048;310781406;VASC;2;2;2664;;6;17;5;1
IMAGES;2013;310783048;310781406;dtIRM2;1;1;2996;;17;2523;;0
IMAGES;2013;310783055;310781406;CAM;2;2;3701;;56;1894;5;0
IMAGES;2013;310783055;310781406;IRM;2;2;4781;;34;5704;88;0
IMAGES;2013;310783055;310781406;LITHO;1;1;7;;;2;;
IMAGES;2013;310783055;310781406;MAMM;1;1;;;;287;;
IMAGES;2013;310783055;310781406;RADIO;9;9;35557;;37;9942;707;1
IMAGES;2013;310783055;310781406;SCAN;2;2;21983;;72;4955;474;1
IMAGES;2013;310783055;310781406;VASC;8;8;15792;709;87;280;12;1
IMAGES;2013;310784558;310180013;RADIO;1;1;1397;300;;1029;0;0
IMAGES;2013;310786389;310001433;RADIO;2;0;;;;;;
IMAGES;2013;310787304;310781406;RADIO;1;1;2911;;;59;;0
IMAGES;2013;310790472;310790464;RADIO;1;0;;;;;;0
IMAGES;2013;320000086;320780117;IRM;1;1;523;;;5885;0;
IMAGES;2013;320000086;320780117;RADIO;3;3;6518;;;11690;;
IMAGES;2013;320000086;320780117;SCAN;1;1;4643;;;9488;58;0
IMAGES;2013;320780067;320000052;LITHO;1;1;234;0;0;;0;
IMAGES;2013;320780067;320000052;RADIO;2;2;1052;;;;;
IMAGES;2013;320784333;320000565;RADIO;1;1;888;0;0;0;0;0
IMAGES;2013;330000332;330780545;RADIO;1;1;2570;;1;3248;;0
IMAGES;2013;330000332;330780545;VASC;1;1;118;;29;;;1
IMAGES;2013;330000340;330780552;IRM;1;1;157;;;8141;0;0
IMAGES;2013;330000340;330780552;MAMM;1;1;;;;675;;
IMAGES;2013;330000340;330780552;RADIO;3;3;2798;;;4890;2;0
IMAGES;2013;330000340;330780552;SCAN;1;1;2015;;;12647;0;0
IMAGES;2013;330000555;330781204;IRM;1;1;;;;;;
IMAGES;2013;330000555;330781204;RADIO;2;2;5700;;626;14527;299;
IMAGES;2013;330000555;330781204;SCAN;1;1;4613;;149;9497;126;
IMAGES;2013;330000571;330781220;MAMM;1;1;;;;710;;
IMAGES;2013;330000571;330781220;RADIO;1;1;8783;10;0;18998;81;1
IMAGES;2013;330000571;330781220;SCAN;1;1;6322;26;0;8990;42;1
IMAGES;2013;330000589;330027509;IRM;1;1;78;;;5047;0;0
IMAGES;2013;330000589;330027509;MAMM;1;1;;;;411;;
IMAGES;2013;330000589;330027509;RADIO;6;6;2328;;;15458;213;
IMAGES;2013;330000589;330027509;SCAN;1;1;1484;;;11093;128;0
IMAGES;2013;330000597;330027509;RADIO;4;4;1755;0;0;2989;0;0
IMAGES;2013;330000605;330781253;IRM;1;1;613;;;4164;11;0
IMAGES;2013;330000605;330781253;MAMM;1;1;;;;1148;;
IMAGES;2013;330000605;330781253;RADIO;5;5;28433;;;22445;1134;1
IMAGES;2013;330000605;330781253;SCAN;2;2;8591;;;8496;70;1
IMAGES;2013;330000605;330781253;VASC;1;1;1788;;;14;6;1
IMAGES;2013;330000613;330781261;MAMM;1;1;;;;126;;
IMAGES;2013;330000613;330781261;RADIO;3;3;2221;;;9287;80;
IMAGES;2013;330000662;330781329;CAM;1;1;947;0;0;585;0;0
IMAGES;2013;330000662;330781329;MAMM;2;2;;;;13268;;
IMAGES;2013;330000662;330781329;SCAN;1;1;3299;0;0;12525;0;1
IMAGES;2013;330000662;330781329;TOMO;1;1;0;0;0;3586;0;0
IMAGES;2013;330000662;330781329;VASC;1;1;1822;0;0;818;0;0
IMAGES;2013;330780263;330000134;IRM;2;0;;;;;;
IMAGES;2013;330780263;330000134;MAMM;1;0;;;;;;
IMAGES;2013;330780263;330000134;RADIO;3;0;;;;;;
IMAGES;2013;330780263;330000134;SCAN;1;0;;;;;;
IMAGES;2013;330780263;330000134;dtIRM1;1;0;;;;;;
IMAGES;2013;330780271;330021429;RADIO;1;;;;;;;
IMAGES;2013;330780354;330000225;VASC;2;2;1943;;292;;;1
IMAGES;2013;330780479;330000274;CAM;3;3;893;;;5386;;0
IMAGES;2013;330780479;330000274;IRM;2;2;256;;;9710;;0
IMAGES;2013;330780479;330000274;SCAN;1;1;6698;;;13544;;1
IMAGES;2013;330780479;330000274;dtIRM1;1;1;5;;;2192;;0
IMAGES;2013;330780495;330796392;IRM;1;0;;;;;;
IMAGES;2013;330780495;330796392;SCAN;1;0;;;;;;
IMAGES;2013;330780529;330796392;IRM;1;;;;;;;
IMAGES;2013;330780529;330796392;MAMM;1;;;;;;;
IMAGES;2013;330780529;330796392;RADIO;3;;;;;;;
IMAGES;2013;330780529;330796392;SCAN;1;;;;;;;
IMAGES;2013;330780529;330796392;dtIRM2;1;;;;;;;
IMAGES;2013;330780537;330000324;IRM;1;0;0;0;0;0;0;0
IMAGES;2013;330780537;330000324;MAMM;1;;;;;;;
IMAGES;2013;330780537;330000324;RADIO;2;;;;;;;0
IMAGES;2013;330780537;330000324;SCAN;1;0;0;0;0;0;0;0
IMAGES;2013;330780560;330781386;RADIO;1;1;3059;;;;;0
IMAGES;2013;330781139;330056540;RADIO;1;1;3144;;;;;1
IMAGES;2013;330781154;330055542;RADIO;1;1;1264;;;;;0
IMAGES;2013;330781188;330056540;RADIO;1;1;18;;;;;0
IMAGES;2013;330781303;750821092;IRM;1;1;358;;;5419;0;0
IMAGES;2013;330781303;750821092;RADIO;6;6;9433;;;16601;348;0
IMAGES;2013;330781303;750821092;SCAN;1;1;4024;;65;4815;52;0
IMAGES;2013;330781352;330781196;IRM;1;1;764;50;;4313;2;1
IMAGES;2013;330781352;330781196;RADIO;4;3;10831;13;;6767;155;1
IMAGES;2013;330781352;330781196;SCAN;1;1;9230;48;;6107;125;1
IMAGES;2013;330781352;330781196;VASC;1;1;1046;2;;9;;1
IMAGES;2013;330781360;330781196;CAM;2;2;1779;595;;3028;;0
IMAGES;2013;330781360;330781196;IRM;3;3;7849;143;;8777;47;0
IMAGES;2013;330781360;330781196;MAMM;1;1;;;;823;;
IMAGES;2013;330781360;330781196;RADIO;16;16;40849;342;;44853;1327;1
IMAGES;2013;330781360;330781196;SCAN;2;2;48963;337;;9520;1380;1
IMAGES;2013;330781360;330781196;VASC;3;3;1984;23;;626;6;1
IMAGES;2013;330781360;330781196;dtIRM2;1;1;1773;40;;2902;;0
IMAGES;2013;330782582;330000928;IRM;2;0;;;;;;
IMAGES;2013;330782582;330000928;LITHO;1;1;159;;;;;1
IMAGES;2013;330782582;330000928;MAMM;1;0;;;;;;
IMAGES;2013;330782582;330000928;RADIO;1;0;;;;;;
IMAGES;2013;330782582;330000928;SCAN;1;0;;;;;;
IMAGES;2013;330782582;330000928;dtIRM1;1;0;;;;;;
IMAGES;2013;330782582;330000928;dtIRM2;1;0;;;;;;
IMAGES;2013;330783648;330781196;CAM;4;4;2512;455;;6856;;0
IMAGES;2013;330783648;330781196;IRM;2;2;2179;24;;2827;;0
IMAGES;2013;330783648;330781196;RADIO;8;8;25857;4432;;5839;22;0
IMAGES;2013;330783648;330781196;SCAN;3;3;12439;1202;;10438;47;1
IMAGES;2013;330783648;330781196;TOMO;2;2;476;196;;4685;;0
IMAGES;2013;330783648;330781196;VASC;1;1;1226;12;;100;;1
IMAGES;2013;330802778;310020383;RADIO;1;1;1400;0;0;0;0;0
IMAGES;2013;330804501;330781212;RADIO;1;1;651;;;3205;;0
IMAGES;2013;340000025;340780048;RADIO;2;;;;;;;
IMAGES;2013;340000033;340780055;IRM;1;1;1191;21;;4661;2;0
IMAGES;2013;340000033;340780055;MAMM;1;1;;;;;;
IMAGES;2013;340000033;340780055;RADIO;7;7;21879;587;;28060;779;1
IMAGES;2013;340000033;340780055;SCAN;2;2;8816;206;;7963;155;1
IMAGES;2013;340000033;340780055;VASC;1;1;573;0;;33;0;1
IMAGES;2013;340000207;340780493;CAM;2;2;1184;0;0;3916;0;0
IMAGES;2013;340000207;340780493;IRM;1;1;549;0;0;3106;0;0
IMAGES;2013;340000207;340780493;MAMM;2;2;;;;3736;;
IMAGES;2013;340000207;340780493;RADIO;1;1;8570;0;0;6417;0;
IMAGES;2013;340000207;340780493;SCAN;1;1;2428;0;0;5177;0;0
IMAGES;2013;340000207;340780493;TOMO;1;1;25;0;0;1503;0;0
IMAGES;2013;340000215;340780519;RADIO;1;;;;;;;
IMAGES;2013;340000215;340780519;SCAN;1;;;;;;;
IMAGES;2013;340000223;340011295;IRM;1;1;279;;;3294;;0
IMAGES;2013;340000223;340011295;MAMM;1;1;;;;637;;
IMAGES;2013;340000223;340011295;RADIO;3;3;7354;80;;25423;461;0
IMAGES;2013;340000223;340011295;SCAN;1;1;3223;;0;5653;;1
IMAGES;2013;340000223;340011295;VASC;1;1;10;;;;1;1
IMAGES;2013;340000439;340780881;RADIO;1;1;573;;;;;
IMAGES;2013;340001064;340013028;RADIO;2;2;747;;;;0;0
IMAGES;2013;340009885;340009877;RADIO;1;;;;;;;
IMAGES;2013;340009885;340009877;SCAN;1;;;;;;;
IMAGES;2013;340015965;340000074;IRM;1;0;;;17;8209;0;1
IMAGES;2013;340015965;340000074;MAMM;4;0;;;;;;
IMAGES;2013;340015965;340000074;RADIO;4;0;15342;;;31445;55;1
IMAGES;2013;340015965;340000074;SCAN;1;0;3752;;;8977;9;1
IMAGES;2013;340780147;340000108;SCAN;1;0;;;;;;
IMAGES;2013;340780154;340000116;RADIO;3;0;;;;;;
IMAGES;2013;340780154;340000116;SCAN;1;0;;;;;;
IMAGES;2013;340780196;340798123;RADIO;1;1;762;0;0;0;0;0
IMAGES;2013;340780212;340796069;RADIO;1;1;2528;0;15;0;0;0
IMAGES;2013;340780220;340796358;RADIO;1;1;2381;48;1078;0;0;1
IMAGES;2013;340780436;340011295;RADIO;1;1;1385;;51;2065;;
IMAGES;2013;340780436;340011295;SCAN;1;1;271;;;51;;0
IMAGES;2013;340780568;340000256;RADIO;1;1;104;;;50;;0
IMAGES;2013;340780634;340000272;RADIO;4;;;;;;;
IMAGES;2013;340780634;340000272;SCAN;1;;;;;;;
IMAGES;2013;340780642;340785856;IRM;1;1;175;;;7814;0;
IMAGES;2013;340780642;340785856;MAMM;1;1;;;;1626;;
IMAGES;2013;340780642;340785856;RADIO;4;4;5500;;;13662;;
IMAGES;2013;340780642;340785856;SCAN;1;0;;;;;;
IMAGES;2013;340780667;340000280;IRM;2;2;1114;0;0;11481;;0
IMAGES;2013;340780667;340000280;LITHO;1;1;179;;;;;1
IMAGES;2013;340780667;340000280;MAMM;1;1;;;;;;
IMAGES;2013;340780667;340000280;RADIO;4;4;9786;0;0;29815;;0
IMAGES;2013;340780667;340000280;SCAN;2;2;5149;0;0;19917;;1
IMAGES;2013;340780667;340000280;VASC;2;2;2647;0;0;0;;1
IMAGES;2013;340780667;340000280;dtIRM1;1;1;59;0;0;1031;;0
IMAGES;2013;340780725;340000330;RADIO;3;1;24;;500;15598;124;0
IMAGES;2013;340780725;340000330;SCAN;1;0;13;;175;21004;57;0
IMAGES;2013;340781608;340015171;RADIO;2;2;1090;0;0;0;0;0
IMAGES;2013;340782036;340780477;IRM;1;1;332;17;2;2285;5;0
IMAGES;2013;340782036;340780477;RADIO;4;4;14982;640;11;5191;445;1
IMAGES;2013;340782036;340780477;SCAN;1;1;7497;475;12;8336;105;1
IMAGES;2013;340782036;340780477;VASC;2;2;532;118;8;49;5;0
IMAGES;2013;340782085;340780477;CAM;2;2;332;3020;4;4557;69;
IMAGES;2013;340782085;340780477;IRM;2;2;4140;1054;1;8530;293;
IMAGES;2013;340782085;340780477;RADIO;4;4;7068;2568;4;2813;107;1
IMAGES;2013;340782085;340780477;SCAN;1;1;6778;2171;4;6549;222;1
IMAGES;2013;340782085;340780477;TOMO;1;1;315;427;0;2748;7;
IMAGES;2013;340782085;340780477;VASC;2;2;1136;427;0;159;34;
IMAGES;2013;340782085;340780477;dtIRM2;1;1;2565;641;3;4043;;
IMAGES;2013;340785161;340780477;CAM;3;3;1172;1047;4;3916;68;
IMAGES;2013;340785161;340780477;IRM;1;1;831;331;2;6180;77;
IMAGES;2013;340785161;340780477;LITHO;1;1;389;3;0;5;0;
IMAGES;2013;340785161;340780477;MAMM;2;2;;;;7381;;
IMAGES;2013;340785161;340780477;RADIO;15;15;44072;3705;19;55619;1303;1
IMAGES;2013;340785161;340780477;SCAN;2;2;12822;2228;5;10827;525;1
IMAGES;2013;340789981;340001866;RADIO;1;1;1753;;;;;0
IMAGES;2013;340796093;340796069;RADIO;1;1;960;0;0;0;0;0
IMAGES;2013;340796663;340780477;IRM;1;1;1082;198;41;3852;37;
IMAGES;2013;340796663;340780477;RADIO;14;14;30576;4503;7;23607;182;1
IMAGES;2013;340796663;340780477;SCAN;1;1;3872;530;15;4773;78;1
IMAGES;2013;340796663;340780477;VASC;3;3;861;1528;9;178;12;
IMAGES;2013;340798511;340798503;SCAN;1;1;1033;;;;;1
IMAGES;2013;350000121;350000303;CAM;2;2;161;;308;8062;;
IMAGES;2013;350000121;350000303;IRM;1;1;501;;118;8822;6;0
IMAGES;2013;350000121;350000303;MAMM;1;;;;;;;
IMAGES;2013;350000121;350000303;RADIO;6;;;;;;;
IMAGES;2013;350000121;350000303;SCAN;1;1;2014;;683;10661;13;1
IMAGES;2013;350000121;350000303;TOMO;1;1;84;;19;3507;;
IMAGES;2013;350000121;350000303;VASC;1;;;;;;;
IMAGES;2013;350000147;350000022;IRM;1;1;1543;;;2201;;0
IMAGES;2013;350000147;350000022;RADIO;4;4;14726;;;20118;;1
IMAGES;2013;350000147;350000022;SCAN;1;1;6843;;;3817;;1
IMAGES;2013;350000147;350000022;VASC;1;1;1125;;;;;0
IMAGES;2013;350000154;350000030;MAMM;1;1;;;;604;;
IMAGES;2013;350000154;350000030;RADIO;3;3;9840;0;0;20885;303;0
IMAGES;2013;350000154;350000030;SCAN;1;1;3490;0;0;4258;32;0
IMAGES;2013;350000162;350000048;MAMM;1;1;;;;1560;;
IMAGES;2013;350000162;350000048;RADIO;2;2;6130;0;0;15318;;0
IMAGES;2013;350000162;350000048;SCAN;1;1;2327;0;0;3358;;0
IMAGES;2013;350000188;350000055;MAMM;1;1;;;;965;;
IMAGES;2013;350000188;350000055;RADIO;3;3;4117;;;12425;153;1
IMAGES;2013;350000188;350000055;SCAN;1;1;2533;;;4789;15;1
IMAGES;2013;350000337;350000246;RADIO;1;1;1799;;;;;0
IMAGES;2013;350000741;350005179;IRM;3;3;3681;;127;7589;94;0
IMAGES;2013;350000741;350005179;LITHO;1;1;176;;;;0;
IMAGES;2013;350000741;350005179;RADIO;9;9;62820;;52;21769;1304;0
IMAGES;2013;350000741;350005179;SCAN;3;3;19573;;134;12840;462;1
IMAGES;2013;350000741;350005179;VASC;2;2;2109;;8;309;10;1
IMAGES;2013;350000741;350005179;dtIRM2;2;2;3649;;117;7233;;0
IMAGES;2013;350002200;350029948;RADIO;1;1;1270;;;65;;1
IMAGES;2013;350002234;750720575;RADIO;2;2;606;;;;;
IMAGES;2013;350002564;350046199;RADIO;1;;;;;;;
IMAGES;2013;350002812;350023503;CAM;4;4;578;0;912;3963;0;0
IMAGES;2013;350002812;350023503;MAMM;2;2;;;;4349;;
IMAGES;2013;350002812;350023503;RADIO;1;1;850;0;0;659;0;0
IMAGES;2013;350002812;350023503;SCAN;1;1;860;0;0;3921;0;0
IMAGES;2013;350002812;350023503;TOMO;1;1;30;0;448;2897;0;0
IMAGES;2013;350002812;350023503;VASC;1;1;304;0;0;160;0;1
IMAGES;2013;350005146;350000733;IRM;2;;;;;;;
IMAGES;2013;350005146;350000733;SCAN;1;;;;;;;
IMAGES;2013;350005146;350000733;dtIRM1;1;;;;;;;
IMAGES;2013;350006771;350005179;RADIO;1;1;664;;;;;0
IMAGES;2013;350007084;350005179;IRM;1;1;1586;;15;4360;13;0
IMAGES;2013;350007084;350005179;RADIO;5;5;21896;;2;17725;373;0
IMAGES;2013;350007084;350005179;SCAN;1;1;4777;;96;3499;33;1
IMAGES;2013;350007084;350005179;VASC;1;1;452;;3;881;2;1
IMAGES;2013;360000038;360000046;RADIO;1;1;1844;192;;6678;69;
IMAGES;2013;360000137;360000053;IRM;1;1;414;;2464;1806;0;0
IMAGES;2013;360000137;360000053;MAMM;1;1;;;;;;
IMAGES;2013;360000137;360000053;RADIO;8;8;12852;;;45667;1155;
IMAGES;2013;360000137;360000053;SCAN;2;2;5297;;;11490;191;0
IMAGES;2013;360000160;360000079;MAMM;1;1;;;;;;
IMAGES;2013;360000160;360000079;RADIO;4;4;3579;0;;14215;83;0
IMAGES;2013;360000160;360000079;SCAN;1;1;2072;0;;4075;12;0
IMAGES;2013;370000085;370000077;IRM;1;1;692;;41;6144;;0
IMAGES;2013;370000085;370000077;RADIO;2;2;13311;;;9952;12;0
IMAGES;2013;370000085;370000077;SCAN;1;1;1789;;90;8615;1;0
IMAGES;2013;370000085;370000077;VASC;2;2;2884;;;;6;0
IMAGES;2013;370000093;370000192;IRM;1;1;140;0;7;8186;0;0
IMAGES;2013;370000093;370000192;RADIO;3;;;;;;;
IMAGES;2013;370000093;370000192;SCAN;1;1;3806;2;4;8461;9;1
IMAGES;2013;370000499;370000481;IRM;1;1;1026;5;5;776;13;0
IMAGES;2013;370000499;370000481;RADIO;3;3;3374;9;40;19362;254;1
IMAGES;2013;370000499;370000481;SCAN;1;1;911;7;1;829;0;1
IMAGES;2013;370000515;370000481;RADIO;1;1;285;2;;;;0
IMAGES;2013;370000531;370000606;IRM;1;;;;;;;0
IMAGES;2013;370000531;370000606;MAMM;1;;;;;;;
IMAGES;2013;370000531;370000606;RADIO;3;;;;;;;0
IMAGES;2013;370000531;370000606;SCAN;1;;;;;;;1
IMAGES;2013;370000580;370000564;MAMM;1;1;;;;1219;;
IMAGES;2013;370000580;370000564;RADIO;2;2;1647;;;5666;;0
IMAGES;2013;370000861;370000481;CAM;1;1;1339;168;179;1839;2;0
IMAGES;2013;370000861;370000481;IRM;2;2;6308;290;149;15642;116;0
IMAGES;2013;370000861;370000481;LITHO;1;1;59;;;;;0
IMAGES;2013;370000861;370000481;MAMM;1;1;;;;5533;;
IMAGES;2013;370000861;370000481;RADIO;3;3;9959;64;608;9111;15;0
IMAGES;2013;370000861;370000481;SCAN;2;2;13061;551;412;22241;128;1
IMAGES;2013;370000861;370000481;TOMO;1;1;544;196;62;3524;23;0
IMAGES;2013;370000861;370000481;VASC;1;1;3092;171;2;396;33;1
IMAGES;2013;370000861;370000481;dtIRM2;1;1;5579;192;73;7781;;0
IMAGES;2013;370000879;370000564;MAMM;1;1;;;;1070;;
IMAGES;2013;370000879;370000564;RADIO;3;3;2375;;;17602;2561;0
IMAGES;2013;370000879;370000564;SCAN;1;1;693;;;1614;;0
IMAGES;2013;370000903;370000614;MAMM;1;1;;;;602;;
IMAGES;2013;370000903;370000614;RADIO;3;3;569;67;;12532;;
IMAGES;2013;370000903;370000614;SCAN;1;1;370;43;;3534;0;0
IMAGES;2013;370004467;370000481;CAM;2;2;1544;282;188;3968;;0
IMAGES;2013;370004467;370000481;IRM;1;1;1065;128;77;5283;60;0
IMAGES;2013;370004467;370000481;RADIO;7;7;22557;344;19;53228;905;1
IMAGES;2013;370004467;370000481;SCAN;2;2;10293;191;672;25495;626;1
IMAGES;2013;370004467;370000481;VASC;1;1;1496;44;9;20;24;1
IMAGES;2013;370007569;370007528;CAM;1;;;;;;;
IMAGES;2013;370007569;370007528;IRM;1;;;;;;;
IMAGES;2013;370007569;370007528;LITHO;1;1;151;;;;;
IMAGES;2013;370007569;370007528;RADIO;4;;;;;;;
IMAGES;2013;370007569;370007528;SCAN;1;;;;;;;
IMAGES;2013;370007569;370007528;TOMO;1;;;;;;;
IMAGES;2013;380000018;380780023;RADIO;3;3;739;;;152;;1
IMAGES;2013;380000026;380780031;MAMM;1;1;;;;614;;
IMAGES;2013;380000026;380780031;RADIO;2;2;2933;;;11359;60;0
IMAGES;2013;380000034;380780049;IRM;1;1;557;;;8038;;0
IMAGES;2013;380000034;380780049;RADIO;4;4;14449;;;46724;;1
IMAGES;2013;380000034;380780049;SCAN;1;1;5816;;;13745;;0
IMAGES;2013;380000042;380780056;RADIO;2;2;2821;;;;;0
IMAGES;2013;380000042;380780056;SCAN;1;1;1460;;;;;0
IMAGES;2013;380000059;380780072;RADIO;1;1;876;;;209;;0
IMAGES;2013;380000067;380780080;CAM;4;4;1690;;447;5259;;0
IMAGES;2013;380000067;380780080;IRM;3;3;13611;;;23910;;0
IMAGES;2013;380000067;380780080;LITHO;1;1;97;;177;186;;
IMAGES;2013;380000067;380780080;MAMM;1;1;;;;1038;;
IMAGES;2013;380000067;380780080;RADIO;9;9;62307;;;15784;1202;1
IMAGES;2013;380000067;380780080;SCAN;4;4;77737;;;43679;1442;1
IMAGES;2013;380000067;380780080;TOMO;1;1;405;;77;1928;;0
IMAGES;2013;380000067;380780080;VASC;4;4;11975;;;726;46;1
IMAGES;2013;380000067;380780080;dtIRM2;1;1;3909;;;9870;;0
IMAGES;2013;380000091;380780171;RADIO;3;3;1358;0;4488;0;0;1
IMAGES;2013;380000109;380780213;RADIO;3;3;1140;0;0;2673;0;0
IMAGES;2013;380000133;380780247;RADIO;1;1;1111;;;;;0
IMAGES;2013;380000174;380781435;IRM;1;1;1320;0;0;7296;0;0
IMAGES;2013;380000174;380781435;MAMM;1;1;;;;509;;
IMAGES;2013;380000174;380781435;RADIO;4;4;12028;0;0;21750;388;0
IMAGES;2013;380000174;380781435;SCAN;1;1;7749;0;0;8016;124;0
IMAGES;2013;380000406;380784751;IRM;1;1;265;;20;7378;;
IMAGES;2013;380000406;380784751;RADIO;2;2;10063;;859;67873;694;
IMAGES;2013;380000406;380784751;SCAN;1;1;2578;;357;15968;305;
IMAGES;2013;380780197;380798173;LITHO;1;1;536;;;;;1
IMAGES;2013;380780197;380798173;MAMM;1;;;;;;;
IMAGES;2013;380780197;380798173;RADIO;2;;;;;;;
IMAGES;2013;380780197;380798173;SCAN;1;;;;;;;
IMAGES;2013;380780288;380795203;RADIO;2;0;;;;;;0
IMAGES;2013;380780379;380798249;RADIO;1;1;1493;;;26;0;0
IMAGES;2013;380782722;380780080;IRM;1;1;1334;;;15078;0;
IMAGES;2013;380782722;380780080;RADIO;3;3;9714;;;52060;23;
IMAGES;2013;380782722;380780080;SCAN;1;1;2105;;;10973;0;
IMAGES;2013;380785956;380795211;IRM;1;0;;;;;;0
IMAGES;2013;380785956;380795211;MAMM;1;0;;;;;;
IMAGES;2013;380785956;380795211;RADIO;2;0;;;;;;0
IMAGES;2013;380785956;380795211;SCAN;1;0;;;;;;0
IMAGES;2013;380786442;380798025;IRM;2;;;;;;;
IMAGES;2013;380786442;380798025;MAMM;1;;;;;;;
IMAGES;2013;380786442;380798025;RADIO;3;;;;;;;
IMAGES;2013;380786442;380798025;SCAN;1;;;;;;;
IMAGES;2013;380786442;380798025;VASC;1;;;;;;;
IMAGES;2013;390000040;390780146;CAM;1;1;352;;;;;0
IMAGES;2013;390000040;390780146;IRM;1;1;1260;;;;;0
IMAGES;2013;390000040;390780146;RADIO;3;3;20279;;;15947;434;
IMAGES;2013;390000040;390780146;SCAN;1;1;6704;;;5309;140;1
IMAGES;2013;390000057;390780153;RADIO;1;1;193;0;0;3182;0;0
IMAGES;2013;390000065;390780161;RADIO;2;2;3871;;;6988;;
IMAGES;2013;390000065;390780161;SCAN;1;1;1100;;;4825;;
IMAGES;2013;390000073;390780179;RADIO;1;1;749;122;0;2452;0;1
IMAGES;2013;390000172;250006335;RADIO;1;1;1265;;;21;;
IMAGES;2013;390000214;390780591;RADIO;2;2;2191;;;4200;87;1
IMAGES;2013;390000222;390780609;IRM;1;1;377;0;0;574;0;0
IMAGES;2013;390000222;390780609;RADIO;3;3;16504;0;0;;325;1
IMAGES;2013;390000222;390780609;SCAN;1;1;6376;0;0;6380;54;1
IMAGES;2013;390000222;390780609;dtIRM1;1;;;;;;;
IMAGES;2013;400000105;400780193;IRM;1;1;1299;59;;2966;;
IMAGES;2013;400000105;400780193;RADIO;4;4;15311;868;8;21434;487;
IMAGES;2013;400000105;400780193;SCAN;1;1;7948;743;;4487;100;
IMAGES;2013;400000139;400011177;IRM;2;2;771;;;12142;9;0
IMAGES;2013;400000139;400011177;MAMM;1;1;;;;453;;
IMAGES;2013;400000139;400011177;RADIO;6;6;8022;;;25791;505;0
IMAGES;2013;400000139;400011177;SCAN;1;1;4641;;;11741;93;1
IMAGES;2013;400000139;400011177;VASC;1;1;1155;;;;;1
IMAGES;2013;400780250;400011177;RADIO;1;1;626;;;249;0;0
IMAGES;2013;400782769;400001764;MAMM;1;0;;;;;;
IMAGES;2013;400782769;400001764;RADIO;3;0;;;;;;0
IMAGES;2013;400782769;400001764;SCAN;1;0;;;;;;0
IMAGES;2013;400791018;400790994;RADIO;1;1;6830;;;;0;0
IMAGES;2013;410000020;410000087;IRM;1;1;1946;;13309;7449;2;0
IMAGES;2013;410000020;410000087;MAMM;1;1;;;;1506;;
IMAGES;2013;410000020;410000087;RADIO;4;4;9852;;133;33020;665;1
IMAGES;2013;410000020;410000087;SCAN;2;2;12653;;44;33556;87;1
IMAGES;2013;410000038;410000095;RADIO;2;2;4761;662;0;8219;189;0
IMAGES;2013;410000046;410000103;RADIO;2;2;3167;;;14655;244;0
IMAGES;2013;410000046;410000103;SCAN;1;1;1724;;;6809;30;0
IMAGES;2013;410000053;410000111;RADIO;1;1;385;146;;;276;0
IMAGES;2013;410000202;410000319;IRM;1;;;;;;;
IMAGES;2013;410000202;410000319;RADIO;3;;;;;;;
IMAGES;2013;410000202;410000319;SCAN;1;;;;;;;
IMAGES;2013;410000418;410008122;RADIO;1;1;2018;0;0;175;0;0
IMAGES;2013;420000010;420780033;IRM;1;1;3820;0;0;8992;0;0
IMAGES;2013;420000010;420780033;MAMM;1;1;;;;768;;
IMAGES;2013;420000010;420780033;RADIO;5;5;17570;0;0;23744;523;1
IMAGES;2013;420000010;420780033;SCAN;1;1;18040;0;0;28285;387;1
IMAGES;2013;420000226;420013831;MAMM;1;1;;;;835;;
IMAGES;2013;420000226;420013831;RADIO;2;2;7764;;;14171;258;1
