BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;010780476;750005068;SSR_E50;1;58;1;0;731;17384;327;327
SSR;2013;010780476;750005068;SSR_E55;1;46;1;0;316;8890;179;179
SSR;2013;010780476;750005068;SSR_E58;0;11;1;0;41;808;15;15
SSR;2013;010780476;750005068;SSR_TOT;1;115;3;0;1088;27082;521;521
SSR;2013;010780492;360000707;SSR_E;;64;20;;3287;18554;2703;
SSR;2013;010780492;360000707;SSR_E50;1;;;0;;;;
SSR;2013;010780492;360000707;SSR_E51;1;6;2;0;378;2757;252;
SSR;2013;010780492;360000707;SSR_E52;1;29;6;0;881;6797;275;
SSR;2013;010780492;360000707;SSR_E57;;29;12;0;2028;9000;2176;
SSR;2013;010780492;360000707;SSR_E58;1;;;0;;;;
SSR;2013;010780492;360000707;SSR_TOT;0;64;20;0;3287;18554;2703;
SSR;2013;010780708;310021381;SSR_A;;65;;;736;21827;;
SSR;2013;010780708;310021381;SSR_A50;1;65;;1;736;21827;;
SSR;2013;010780708;310021381;SSR_TOT;0;65;;0;736;21827;;
SSR;2013;010780799;750721334;SSR_A;;103;;;841;26558;;
SSR;2013;010780799;750721334;SSR_A50;1;16;;0;;;;
SSR;2013;010780799;750721334;SSR_A51;1;87;;;841;26558;;
SSR;2013;010780799;750721334;SSR_TOT;0;103;;0;841;26558;;
SSR;2013;020000089;020000022;SSR_A;;42;;;391;13295;;
SSR;2013;020000089;020000022;SSR_A50;1;22;;0;205;6964;;
SSR;2013;020000089;020000022;SSR_A59;1;20;;0;186;6331;;
SSR;2013;020000089;020000022;SSR_TOT;0;42;;0;391;13295;;
SSR;2013;020000097;020000048;SSR_A;;29;;;249;8871;;
SSR;2013;020000097;020000048;SSR_A50;1;29;;0;249;8871;;
SSR;2013;020000097;020000048;SSR_A59;1;;;1;;;;
SSR;2013;020000097;020000048;SSR_TOT;0;29;;0;249;8871;;
SSR;2013;020000105;020000055;SSR_A;;15;;;274;4800;;
SSR;2013;020000105;020000055;SSR_A50;1;15;;0;274;4800;;
SSR;2013;020000105;020000055;SSR_TOT;0;15;;0;274;4800;;
SSR;2013;020000162;020000063;SSR_A;;70;;;1022;24735;;
SSR;2013;020000162;020000063;SSR_A50;1;9;;0;51;842;;
SSR;2013;020000162;020000063;SSR_A51;1;20;;;374;8056;;
SSR;2013;020000162;020000063;SSR_A52;1;6;;0;18;463;;
SSR;2013;020000162;020000063;SSR_A59;1;35;;0;579;15374;;
SSR;2013;020000162;020000063;SSR_TOT;0;70;;0;1022;24735;;
