BOR;AN;FI;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2013;050007368;050007343;Ncoor;4;;4;
HAD_P;2013;050007368;050007343;M9999;1;2;1.8;108
HAD_P;2013;060000478;060780897;M9999;1;0;0.1;
HAD_P;2013;060000478;060780897;Mcoor;1;0;0.1;
HAD_P;2013;060000478;060780897;N2120;1;0;0.12;
HAD_P;2013;060000478;060780897;N2210;6;0;6.11;
HAD_P;2013;060000478;060780897;N2510;6;0;6;
HAD_P;2013;060000478;060780897;N9999;13;0;12.23;
HAD_P;2013;060000478;060780897;M9999;1;0;0.1;
HAD_P;2013;060000544;060780988;M9999;;1;0.5;
HAD_P;2013;060000544;060780988;Mcoor;;1;0.5;
HAD_P;2013;060000544;060780988;N2120;1;1;0.88;
HAD_P;2013;060000544;060780988;N2210;5;4;8.01;0
HAD_P;2013;060000544;060780988;N2510;7;1;7.89;
HAD_P;2013;060000544;060780988;N2710;0;1;0.5;
HAD_P;2013;060000544;060780988;N9999;13;8;18.03;0
HAD_P;2013;060000544;060780988;NAUT;;1;0.75;
HAD_P;2013;060000544;060780988;M9999;;1;0.5;
HAD_P;2013;060006558;060798865;M3050;;1;0.08;
HAD_P;2013;060006558;060798865;M9999;;2;0.58;
HAD_P;2013;060006558;060798865;Mcoor;;1;0.5;
HAD_P;2013;060006558;060798865;N2120;1;;1;
HAD_P;2013;060006558;060798865;N2210;10;;10;
HAD_P;2013;060006558;060798865;N2510;9;;9;
HAD_P;2013;060006558;060798865;N2710;;1;0.5;
HAD_P;2013;060006558;060798865;N3120;;1;0.3;
HAD_P;2013;060006558;060798865;N9999;22;8;24.48;
HAD_P;2013;060006558;060798865;NAUT;1;6;2.68;
HAD_P;2013;060006558;060798865;Ncoor;1;;1;
HAD_P;2013;060006558;060798865;M9999;;2;0.58;
HAD_P;2013;060785243;060001484;M9999;2;1;2.34;
HAD_P;2013;060785243;060001484;Mcoor;2;1;2.34;
HAD_P;2013;060785243;060001484;N2120;;1;0.97;
HAD_P;2013;060785243;060001484;N2210;41;11;46.81;20
HAD_P;2013;060785243;060001484;N2410;3;;3;188
HAD_P;2013;060785243;060001484;N2510;28;13;38.42;
HAD_P;2013;060785243;060001484;N2710;1;;1;
HAD_P;2013;060785243;060001484;N3120;1;1;1.97;
HAD_P;2013;060785243;060001484;N9999;98;35;121.11;240
HAD_P;2013;060785243;060001484;NAUT;19;8;23.04;32
HAD_P;2013;060785243;060001484;Ncoor;5;1;5.9;
HAD_P;2013;060785243;060001484;M9999;2;1;2.34;
HAD_P;2013;070000609;070005566;M9999;1;0;1;
HAD_P;2013;070000609;070005566;Mcoor;1;0;1;
HAD_P;2013;070000609;070005566;N2120;1;0;1;
HAD_P;2013;070000609;070005566;N2210;5;0;5;186
HAD_P;2013;070000609;070005566;N2460;0;1;0.2;
HAD_P;2013;070000609;070005566;N2510;3;0;3;
HAD_P;2013;070000609;070005566;N2710;0;1;0.5;
HAD_P;2013;070000609;070005566;N3120;1;0;0;
HAD_P;2013;070000609;070005566;N9999;10;3;10.2;186
HAD_P;2013;070000609;070005566;NAUT;0;1;0.5;
HAD_P;2013;070000609;070005566;M9999;1;0;1;
HAD_P;2013;080008279;080001969;M9999;0;1;0.2;
HAD_P;2013;080008279;080001969;MAUT;;1;0.2;
HAD_P;2013;080008279;080001969;N2210;9;2;11.22;27
HAD_P;2013;080008279;080001969;N2510;7;1;7.42;
HAD_P;2013;080008279;080001969;N9999;16;4;19.14;46
HAD_P;2013;080008279;080001969;NAUT;;1;0.5;19
HAD_P;2013;080008279;080001969;M9999;;1;0.2;
HAD_P;2013;080010267;080010242;M3050;;1;0.5;
HAD_P;2013;080010267;080010242;M9999;1;2;1.7;
HAD_P;2013;080010267;080010242;Mcoor;1;1;1.2;
HAD_P;2013;080010267;080010242;N2210;11;2;12;
HAD_P;2013;080010267;080010242;N2510;3;;3;
HAD_P;2013;080010267;080010242;N2710;;1;0.5;
HAD_P;2013;080010267;080010242;N3120;;1;0.6;
HAD_P;2013;080010267;080010242;N9999;17;7;21.1;
HAD_P;2013;080010267;080010242;NAUT;2;1;2.5;
HAD_P;2013;080010267;080010242;Ncoor;1;2;2.5;
HAD_P;2013;080010267;080010242;M9999;1;2;1.7;
HAD_P;2013;090000175;090781774;M3050;4;;0.15;
HAD_P;2013;090000175;090781774;M9999;6;1;1.45;
HAD_P;2013;090000175;090781774;MAUT;1;1;0.5;
HAD_P;2013;090000175;090781774;Mcoor;1;;0.8;
HAD_P;2013;090000175;090781774;N2120;1;0;1;
HAD_P;2013;090000175;090781774;N2210;9;1;9.36;
HAD_P;2013;090000175;090781774;N2510;6;2;7.85;
HAD_P;2013;090000175;090781774;N2710;;1;0.49;
HAD_P;2013;090000175;090781774;N3120;1;;0.8;
HAD_P;2013;090000175;090781774;N9999;40;19;25.46;
HAD_P;2013;090000175;090781774;NAUT;23;15;5.96;
HAD_P;2013;090000175;090781774;M9999;6;1;1.45;
HAD_P;2013;090002478;090002429;M9999;;2;0.6;
HAD_P;2013;090002478;090002429;Mcoor;;2;0.6;
HAD_P;2013;090002478;090002429;N2120;1;;1;
HAD_P;2013;090002478;090002429;N3120;1;;1;
HAD_P;2013;090002478;090002429;N9999;6;3;8.07;
HAD_P;2013;090002478;090002429;NAUT;3;2;4.27;
HAD_P;2013;090002478;090002429;Ncoor;1;1;1.8;
HAD_P;2013;090002478;090002429;M9999;;2;0.6;
HAD_P;2013;100007699;100006279;M9999;1;;0.8;
HAD_P;2013;100007699;100006279;Mcoor;1;;0.8;
HAD_P;2013;100007699;100006279;N2120;1;;0.06;
HAD_P;2013;100007699;100006279;N2210;10;;7.34;
HAD_P;2013;100007699;100006279;N2510;7;1;6.55;
HAD_P;2013;100007699;100006279;N9999;20;1;15.95;
HAD_P;2013;100007699;100006279;NAUT;1;;1;
HAD_P;2013;100007699;100006279;Ncoor;1;;1;
HAD_P;2013;100007699;100006279;M9999;1;;0.8;
HAD_P;2013;100008903;100007335;M3050;;1;0.5;
HAD_P;2013;100008903;100007335;M9999;;3;1.7;
HAD_P;2013;100008903;100007335;Mcoor;;2;1.2;
HAD_P;2013;100008903;100007335;N2120;1;;1;
HAD_P;2013;100008903;100007335;N2210;9;5;12.95;
HAD_P;2013;100008903;100007335;N2510;6;6;9.3;
HAD_P;2013;100008903;100007335;N3120;;1;0.5;
HAD_P;2013;100008903;100007335;N9999;18;12;25.75;
HAD_P;2013;100008903;100007335;Ncoor;2;;2;
HAD_P;2013;100008903;100007335;M9999;;3;1.7;
HAD_P;2013;110000247;110780772;M9999;;1;0.18;
HAD_P;2013;110000247;110780772;Mcoor;;1;0.18;
HAD_P;2013;110000247;110780772;N2120;1;;0.5;
HAD_P;2013;110000247;110780772;N2210;6;1;5.78;
HAD_P;2013;110000247;110780772;N2510;;1;0.91;
HAD_P;2013;110000247;110780772;N9999;7;2;7.19;
HAD_P;2013;110000247;110780772;M9999;;1;0.18;
HAD_P;2013;110005048;110000114;M3050;;1;0.1;
HAD_P;2013;110005048;110000114;M9999;;3;0.67;
HAD_P;2013;110005048;110000114;MAUT;;1;0.2;
HAD_P;2013;110005048;110000114;Mcoor;;1;0.37;
HAD_P;2013;110005048;110000114;N2120;1;;1;
HAD_P;2013;110005048;110000114;N2210;4;;4;
HAD_P;2013;110005048;110000114;N2510;4;;4;
HAD_P;2013;110005048;110000114;N3120;;1;0.1;
HAD_P;2013;110005048;110000114;N9999;10;1;10.1;
HAD_P;2013;110005048;110000114;NAUT;1;;1;
HAD_P;2013;110005048;110000114;M9999;;3;0.67;
HAD_P;2013;110005394;750047367;M9999;;1;0.5;
HAD_P;2013;110005394;750047367;Mcoor;;1;0.5;
HAD_P;2013;110005394;750047367;N2510;4;;3.2;
HAD_P;2013;110005394;750047367;N2710;;1;0.2;
HAD_P;2013;110005394;750047367;N3120;;1;0.5;
HAD_P;2013;110005394;750047367;N9999;10;2;9.7;
HAD_P;2013;110005394;750047367;NAUT;2;;1.8;
HAD_P;2013;110005394;750047367;Ncoor;4;;4;
HAD_P;2013;110005394;750047367;M9999;;1;0.5;
HAD_P;2013;120783618;120784616;M9999;1;;0.69;
HAD_P;2013;120783618;120784616;Mcoor;1;;0.69;
HAD_P;2013;120783618;120784616;N2210;10;;9.44;
HAD_P;2013;120783618;120784616;N2510;11;;10.71;
HAD_P;2013;120783618;120784616;N2710;1;;1;
HAD_P;2013;120783618;120784616;N3120;1;;1;
HAD_P;2013;120783618;120784616;N9999;28;;26.2;
HAD_P;2013;120783618;120784616;Ncoor;5;;4.05;
HAD_P;2013;120783618;120784616;M9999;1;;0.69;
HAD_P;2013;130000409;130041916;M9999;1;;0.2;
HAD_P;2013;130000409;130041916;Mcoor;1;;0.2;
HAD_P;2013;130000409;130041916;N2120;1;;0.4;
HAD_P;2013;130000409;130041916;N2210;1;1;1.5;
HAD_P;2013;130000409;130041916;N2710;;1;0.43;
HAD_P;2013;130000409;130041916;N3120;1;;0.5;
HAD_P;2013;130000409;130041916;N9999;5;2;4.33;
HAD_P;2013;130000409;130041916;NAUT;2;;1.5;
HAD_P;2013;130000409;130041916;M9999;1;;0.2;
HAD_P;2013;130000565;130781446;M9999;1;;0.3;
HAD_P;2013;130000565;130781446;Mcoor;1;;0.3;
HAD_P;2013;130000565;130781446;N2210;1;4;3.91;15
HAD_P;2013;130000565;130781446;N2410;;;;10
HAD_P;2013;130000565;130781446;N2510;2;;2;
HAD_P;2013;130000565;130781446;N9999;5;5;8.77;25
HAD_P;2013;130000565;130781446;NAUT;1;1;1.86;
HAD_P;2013;130000565;130781446;Ncoor;1;;1;
HAD_P;2013;130000565;130781446;M9999;1;;0.3;
HAD_P;2013;130001647;130784127;M9999;2;;2;
HAD_P;2013;130001647;130784127;Mcoor;2;;2;
HAD_P;2013;130001647;130784127;N2210;5;;5;
HAD_P;2013;130001647;130784127;N9999;8;1;9.17;
HAD_P;2013;130001647;130784127;NAUT;2;1;2.5;
HAD_P;2013;130001647;130784127;Ncoor;1;;1.67;
HAD_P;2013;130001647;130784127;M9999;2;;2;
HAD_P;2013;130002215;130785512;M9999;;1;0.6;
HAD_P;2013;130002215;130785512;Mcoor;;1;0.6;
HAD_P;2013;130002215;130785512;N2120;;1;0.43;
HAD_P;2013;130002215;130785512;N2210;4;1;4.86;
HAD_P;2013;130002215;130785512;N2510;5;1;5.86;
HAD_P;2013;130002215;130785512;N9999;10;4;12.55;
HAD_P;2013;130002215;130785512;NAUT;1;1;1.4;
HAD_P;2013;130002215;130785512;M9999;;1;0.6;
HAD_P;2013;130021488;130021439;M3050;;1;0.5;
HAD_P;2013;130021488;130021439;M9999;;2;1.3;
HAD_P;2013;130021488;130021439;Mcoor;;1;0.8;
HAD_P;2013;130021488;130021439;N2210;;;;131
HAD_P;2013;130021488;130021439;N2410;;;;37
HAD_P;2013;130021488;130021439;N2460;;;;1
HAD_P;2013;130021488;130021439;N2510;2;;2;
HAD_P;2013;130021488;130021439;N2710;;1;0.11;
HAD_P;2013;130021488;130021439;N3120;;1;0.5;
HAD_P;2013;130021488;130021439;N9999;3;3;4.11;173
HAD_P;2013;130021488;130021439;NAUT;;;;4
HAD_P;2013;130021488;130021439;Ncoor;1;1;1.5;
HAD_P;2013;130021488;130021439;M9999;;2;1.3;
HAD_P;2013;130021819;130021769;M3050;;;;9
HAD_P;2013;130021819;130021769;M9999;;2;1;47
HAD_P;2013;130021819;130021769;MAUT;;;;38
HAD_P;2013;130021819;130021769;Mcoor;;2;1;
HAD_P;2013;130021819;130021769;N2210;3;3;4.2;80
HAD_P;2013;130021819;130021769;N2410;;;;30
HAD_P;2013;130021819;130021769;N2510;6;1;6.6;
HAD_P;2013;130021819;130021769;N2710;;;;4
HAD_P;2013;130021819;130021769;N3120;;1;0.8;
HAD_P;2013;130021819;130021769;N9999;12;6;15.2;115
HAD_P;2013;130021819;130021769;NAUT;;;;1
HAD_P;2013;130021819;130021769;Ncoor;3;1;3.6;
HAD_P;2013;130021819;130021769;M9999;;2;1;47
HAD_P;2013;130022619;130810161;M9999;;1;0.5;
HAD_P;2013;130022619;130810161;Mcoor;;1;0.5;
HAD_P;2013;130022619;130810161;N2120;1;;1;
HAD_P;2013;130022619;130810161;N2210;4;;4;59
HAD_P;2013;130022619;130810161;N2410;;;;42
HAD_P;2013;130022619;130810161;N2510;4;1;4.5;
HAD_P;2013;130022619;130810161;N2710;;1;0.25;
HAD_P;2013;130022619;130810161;N3120;;1;0.43;
HAD_P;2013;130022619;130810161;N9999;10;6;11.48;114
HAD_P;2013;130022619;130810161;NAUT;1;3;1.3;13
HAD_P;2013;130022619;130810161;M9999;;1;0.5;
HAD_P;2013;130024458;130804396;M9999;;3;1.78;
HAD_P;2013;130024458;130804396;Mcoor;;3;1.78;
HAD_P;2013;130024458;130804396;N2120;3;;2.68;
HAD_P;2013;130024458;130804396;N2210;15;3;11;42
HAD_P;2013;130024458;130804396;N2410;;;;27
HAD_P;2013;130024458;130804396;N2510;19;;13.68;
HAD_P;2013;130024458;130804396;N2710;;1;0.58;
HAD_P;2013;130024458;130804396;N3120;1;;0.89;
HAD_P;2013;130024458;130804396;N9999;38;5;29.58;81
HAD_P;2013;130024458;130804396;NAUT;;1;0.75;12
HAD_P;2013;130024458;130804396;M9999;;3;1.78;
HAD_P;2013;130782071;130002454;M9999;1;;1;
HAD_P;2013;130782071;130002454;Mcoor;1;;1;
HAD_P;2013;130782071;130002454;N2120;1;;1;
HAD_P;2013;130782071;130002454;N2210;;;;84
HAD_P;2013;130782071;130002454;N2410;;;;30
HAD_P;2013;130782071;130002454;N9999;2;2;3.32;114
HAD_P;2013;130782071;130002454;NAUT;1;2;2.32;
HAD_P;2013;130782071;130002454;M9999;1;;1;
HAD_P;2013;130783236;130786049;M9999;1;2;2.07;
HAD_P;2013;130783236;130786049;MAUT;1;2;2.07;
HAD_P;2013;130783236;130786049;N2120;1;;1;
HAD_P;2013;130783236;130786049;N2210;15;;13.31;
HAD_P;2013;130783236;130786049;N2510;5;;5;
HAD_P;2013;130783236;130786049;N9999;45;1;42.16;
HAD_P;2013;130783236;130786049;NAUT;9;1;9.54;
HAD_P;2013;130783236;130786049;Ncoor;15;;13.31;
HAD_P;2013;130783236;130786049;M9999;1;2;2.07;
HAD_P;2013;130785652;130014228;M9999;;2;0.8;
HAD_P;2013;130785652;130014228;Mcoor;;2;0.8;
HAD_P;2013;130785652;130014228;N2120;1;;1;
HAD_P;2013;130785652;130014228;N2210;3;;3;152
HAD_P;2013;130785652;130014228;N2410;;;;51
HAD_P;2013;130785652;130014228;N9999;6;;6;203
HAD_P;2013;130785652;130014228;NAUT;2;;2;
HAD_P;2013;130785652;130014228;M9999;;2;0.8;
HAD_P;2013;130802143;130804396;M9999;;1;0.73;
HAD_P;2013;130802143;130804396;Mcoor;;1;0.73;
HAD_P;2013;130802143;130804396;N2120;5;;4.76;
HAD_P;2013;130802143;130804396;N2210;17;5;13.54;41
HAD_P;2013;130802143;130804396;N2410;;;;102
HAD_P;2013;130802143;130804396;N2510;13;2;12.29;
HAD_P;2013;130802143;130804396;N2710;1;;1;
HAD_P;2013;130802143;130804396;N3120;1;1;1.7;
HAD_P;2013;130802143;130804396;N9999;37;8;33.29;149
HAD_P;2013;130802143;130804396;NAUT;;;;6
HAD_P;2013;130802143;130804396;M9999;;1;0.73;
HAD_P;2013;130809015;130001928;M9999;;2;0.7;
HAD_P;2013;130809015;130001928;Mcoor;;2;0.7;
HAD_P;2013;130809015;130001928;N2120;;1;0.1;
HAD_P;2013;130809015;130001928;N2210;2;1;2.8;15
HAD_P;2013;130809015;130001928;N2410;;;;15
HAD_P;2013;130809015;130001928;N2460;;;;1
HAD_P;2013;130809015;130001928;N2710;;;;2
HAD_P;2013;130809015;130001928;N3120;;1;0.5;
HAD_P;2013;130809015;130001928;N9999;4;4;5.9;34
HAD_P;2013;130809015;130001928;NAUT;1;1;1.5;1
HAD_P;2013;130809015;130001928;Ncoor;1;;1;
HAD_P;2013;130809015;130001928;M9999;;2;0.7;
HAD_P;2013;140000027;140000035;M9999;1;0;0.7;
HAD_P;2013;140000027;140000035;Mcoor;1;0;0.7;
HAD_P;2013;140000027;140000035;N2120;1;0;1;
HAD_P;2013;140000027;140000035;N2210;19;3;20.9;
HAD_P;2013;140000027;140000035;N2410;0;1;0.4;
HAD_P;2013;140000027;140000035;N2510;10;6;14.78;
HAD_P;2013;140000027;140000035;N3120;1;0;0.5;
HAD_P;2013;140000027;140000035;N9999;33;13;40.4;
HAD_P;2013;140000027;140000035;NAUT;2;3;2.82;
HAD_P;2013;140000027;140000035;M9999;1;0;0.7;
HAD_P;2013;140000076;140000084;M9999;;1;0.5;
HAD_P;2013;140000076;140000084;Mcoor;;1;0.5;
HAD_P;2013;140000076;140000084;N2120;1;;0.6;
HAD_P;2013;140000076;140000084;N2210;4;3;6.48;
HAD_P;2013;140000076;140000084;N2410;;1;0.54;
HAD_P;2013;140000076;140000084;N2510;5;;5;
HAD_P;2013;140000076;140000084;N2710;1;;0.33;
HAD_P;2013;140000076;140000084;N3120;;1;0.2;
HAD_P;2013;140000076;140000084;N9999;12;7;13.92;
HAD_P;2013;140000076;140000084;NAUT;1;2;0.77;
HAD_P;2013;140000076;140000084;M9999;;1;0.5;
HAD_P;2013;140000209;140000100;M9999;2;;0.35;
HAD_P;2013;140000209;140000100;Mcoor;2;;0.35;
HAD_P;2013;140000209;140000100;N2210;3;;3.05;
HAD_P;2013;140000209;140000100;N9999;3;;5.29;
HAD_P;2013;140000209;140000100;NAUT;;;2.24;
HAD_P;2013;140000209;140000100;M9999;2;;0.35;
HAD_P;2013;140000233;140000118;M9999;1;;0.5;
HAD_P;2013;140000233;140000118;Mcoor;1;;0.5;
HAD_P;2013;140000233;140000118;N2120;;1;0.1;
HAD_P;2013;140000233;140000118;N2210;5;2;5.98;
HAD_P;2013;140000233;140000118;N2460;;1;0.05;
HAD_P;2013;140000233;140000118;N2510;4;1;3.8;
HAD_P;2013;140000233;140000118;N2710;;1;0.2;
HAD_P;2013;140000233;140000118;N3120;;1;0.1;
HAD_P;2013;140000233;140000118;N9999;10;8;12.03;
HAD_P;2013;140000233;140000118;NAUT;;1;0.8;
HAD_P;2013;140000233;140000118;Ncoor;1;;1;
HAD_P;2013;140000233;140000118;M9999;1;;0.5;
HAD_P;2013;140000258;140000415;M3050;;1;0.3;
HAD_P;2013;140000258;140000415;M9999;;3;1.6;
HAD_P;2013;140000258;140000415;Mcoor;;2;1.3;
HAD_P;2013;140000258;140000415;N2210;5;1;5.5;
HAD_P;2013;140000258;140000415;N2510;5;1;4.5;
HAD_P;2013;140000258;140000415;N3120;;1;0.4;
